Forest,Agriculture,Other,Area_Total,forest_sp,agriculture_sp,generalist_sp,Sp_Total
368620000,461670000,1669710000,2500000000,26,17,69,112
880200000,904580000,715220000,2500000000,21,21,62,104
1020590000,641400000,838010000,2500000000,21,25,72,118
959760000,1026110000,514130000,2500000000,19,18,60,97
330930000,781840000,1387230000,2500000000,26,19,74,119
426730000,772570000,1300700000,2500000000,29,23,70,122
231880000,1226180000,1041940000,2500000000,29,19,71,119
300270000,1008810000,1190920000,2500000000,25,19,64,108
136740000,1328340000,1034920000,2500000000,33,24,75,132
97310000,1087810000,1314880000,2500000000,33,25,76,134
658310000,631120000,1210570000,2500000000,31,26,80,137
289820000,1128300000,1081880000,2500000000,27,22,75,124
278760000,1309910000,911330000,2500000000,31,19,77,127
936380000,973730000,589890000,2500000000,19,18,61,98
932320000,351770000,1215910000,2500000000,30,21,71,122
962640000,422910000,1114450000,2500000000,18,19,49,86
593010000,669810000,1237180000,2500000000,35,30,87,152
86650000,1243240000,1170110000,2500000000,32,30,84,146
138430000,1375380000,986190000,2500000000,30,31,71,132
324290000,883140000,1292570000,2500000000,33,28,80,141
663010000,186100000,1650890000,2500000000,33,21,72,126
887670000,241270000,1371060000,2500000000,34,22,72,128
9570000,28480000,1801990000,1840040000,7,24,51,82
88650000,24020000,2224480000,2337150000,9,19,47,75
40170000,64350000,2395480000,2500000000,15,17,54,86
32590000,143050000,2324360000,2500000000,17,21,52,90
168700000,319410000,2011890000,2500000000,16,22,52,90
85680000,250090000,2164230000,2500000000,11,21,52,84
27190000,115700000,2350320000,2493210000,15,22,60,97
125210000,176200000,2198590000,2500000000,17,27,54,98
59540000,148750000,2227520000,2435810000,13,22,50,85
83130000,213150000,2203720000,2500000000,15,23,58,96
249280000,174700000,2076020000,2500000000,16,20,51,87
186730000,371930000,1941340000,2500000000,17,29,50,96
11450000,79630000,2246990000,2338070000,14,29,63,106
185020000,222810000,2092170000,2500000000,16,13,47,76
33070000,204340000,2262590000,2500000000,12,16,54,82
96250000,261300000,2122050000,2479600000,15,18,58,91
111540000,91740000,2296720000,2500000000,14,17,54,85
194690000,186900000,2118410000,2500000000,16,21,50,87
225980000,165120000,2108900000,2500000000,12,16,51,79
66160000,70720000,2363120000,2500000000,16,25,50,91
93020000,103460000,2303520000,2500000000,18,15,45,78
39980000,175990000,2284030000,2500000000,13,23,55,91
66270000,129390000,2254070000,2449730000,16,27,61,104
57760000,83090000,2359150000,2500000000,12,23,54,89
427510000,1482570000,589920000,2500000000,31,32,90,153
331760000,278140000,1890100000,2500000000,20,23,66,109
94130000,438020000,1967850000,2500000000,17,17,53,87
117750000,243400000,2138850000,2500000000,16,19,50,85
32940000,533740000,1933320000,2500000000,16,20,64,100
147650000,0,2352350000,2500000000,19,25,58,102
577890000,1255140000,666970000,2500000000,31,35,89,155
159010000,1779690000,561300000,2500000000,20,31,68,119
308990000,990360000,1200650000,2500000000,33,33,89,155
49430000,1677780000,772790000,2500000000,28,33,89,150
347420000,1258790000,893790000,2500000000,35,37,105,177
386470000,1199360000,914170000,2500000000,29,31,81,141
132320000,42870000,1899100000,2074290000,24,21,61,106
117970000,1122780000,1259250000,2500000000,32,37,89,158
14980000,2381280000,103740000,2500000000,17,27,63,107
79960000,1949090000,470950000,2500000000,31,31,82,144
597340000,1217810000,684850000,2500000000,27,24,62,113
495730000,836660000,1167610000,2500000000,30,31,77,138
391010000,1080370000,1028620000,2500000000,26,30,68,124
270240000,1802550000,427210000,2500000000,31,35,88,154
218760000,663520000,1617720000,2500000000,31,32,80,143
162640000,583640000,1753720000,2500000000,28,28,82,138
206750000,1913800000,379450000,2500000000,27,24,62,113
144930000,1989240000,365830000,2500000000,30,31,77,138
204330000,1515170000,780500000,2500000000,29,29,71,129
446810000,900080000,1153110000,2500000000,28,28,67,123
246000000,1700290000,553710000,2500000000,26,29,63,118
74790000,1985290000,439920000,2500000000,26,33,86,145
95100000,428510000,1976390000,2500000000,25,27,83,135
479700000,1153680000,866620000,2500000000,29,27,66,122
643000000,684390000,1172610000,2500000000,27,24,59,110
366020000,1394490000,739490000,2500000000,25,22,52,99
587690000,1228040000,684270000,2500000000,27,32,67,126
798820000,199300000,1501880000,2500000000,28,22,69,119
125380000,1131410000,1243210000,2500000000,24,31,87,142
424860000,1273470000,801670000,2500000000,28,27,68,123
