"cell50x50","SR_forest_ebba1","SR_agriculture_ebba1","SR_generalist_ebba1","SR_forest_ebba2","SR_agriculture_ebba2","SR_generalist_ebba2","deltaSR_bird_forest","deltaSR_bird_agriculture","deltaSR_bird_generalist","SR_forest_m_b2000","SR_agriculture_m_b2000","SR_generalist_m_b2000","SR_forest_m_a2015","SR_agriculture_m_a2015","SR_generalist_m_a2015","deltaSR_mammal_forest","deltaSR_mammal_agriculture","deltaSR_mammal_generalist"
"33TUN4",35,12,51,42,16,62,7,4,11,17,4,39,11,4,31,-6,0,-8
"33TVE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,NA,NA,NA
"33TVE3",16,12,41,11,15,52,-5,3,11,NA,NA,NA,NA,NA,5,NA,NA,NA
"33TVF1",24,22,69,29,22,70,5,0,1,1,NA,NA,4,1,14,3,NA,NA
"33TVF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,15,NA,NA,13
"33TVF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,17,NA,NA,NA
"33TVF4",22,18,59,23,16,65,1,-2,6,NA,NA,1,2,NA,9,NA,NA,8
"33TVG1",29,25,77,29,20,69,0,-5,-8,2,NA,5,6,NA,12,4,NA,7
"33TVG2",32,23,77,29,17,67,-3,-6,-10,2,NA,4,6,NA,22,4,NA,18
"33TVG3",14,16,57,14,18,62,0,2,5,NA,NA,NA,2,NA,6,NA,NA,NA
"33TVG4",20,19,64,22,23,70,2,4,6,NA,NA,NA,3,NA,16,NA,NA,NA
"33TVH1",11,8,44,9,15,52,-2,7,8,NA,NA,NA,1,NA,2,NA,NA,NA
"33TVH2",22,15,61,8,12,55,-14,-3,-6,NA,NA,NA,1,NA,3,NA,NA,NA
"33TVK1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,5,4,2,14,1,0,9
"33TVK3",33,20,61,32,17,67,-1,-3,6,8,2,15,4,NA,13,-4,NA,-2
"33TVK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,2,NA,6,1,NA,3
"33TVL1",39,23,82,50,33,86,11,10,4,7,3,20,9,1,24,2,-2,4
"33TVL2",33,23,81,42,31,96,9,8,15,7,3,16,6,1,17,-1,-2,1
"33TVL3",38,29,88,50,33,88,12,4,0,6,3,16,11,2,22,5,-1,6
"33TVL4",41,20,73,46,16,74,5,-4,1,8,3,16,5,NA,16,-3,NA,0
"33TVM1",42,18,71,45,23,78,3,5,7,7,4,28,11,1,30,4,-3,2
"33TVM2",43,21,70,49,20,74,6,-1,4,6,4,15,8,1,17,2,-3,2
"33TVM3",40,19,72,44,24,75,4,5,3,3,NA,6,6,1,17,3,NA,11
"33TVM4",42,19,72,49,29,83,7,10,11,6,4,16,4,2,28,-2,-2,12
"33TVN1",40,18,63,45,21,66,5,3,3,12,3,25,11,3,26,-1,0,1
"33TVN2",36,14,56,37,17,58,1,3,2,13,4,32,6,2,25,-7,-2,-7
"33TVN3",39,16,63,47,19,68,8,3,5,8,2,26,15,2,30,7,0,4
"33TVN4",36,19,59,42,20,72,6,1,13,1,NA,1,5,2,25,4,NA,24
"33TWE1",28,21,68,29,19,68,1,-2,0,NA,NA,2,1,NA,13,NA,NA,11
"33TWE3",24,19,71,30,17,69,6,-2,-2,NA,NA,NA,1,NA,16,NA,NA,NA
"33TWF1",18,18,57,18,16,54,0,-2,-3,NA,NA,NA,1,NA,9,NA,NA,NA
"33TWF2",25,22,72,23,18,74,-2,-4,2,1,NA,3,2,NA,9,1,NA,6
"33TWF3",7,20,51,8,24,66,1,4,15,NA,NA,NA,NA,NA,3,NA,NA,NA
"33TWF4",18,22,64,20,19,56,2,-3,-8,NA,NA,NA,1,NA,7,NA,NA,NA
"33TWG1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"33TWG2",20,21,72,13,21,67,-7,0,-5,NA,NA,NA,NA,NA,5,NA,NA,NA
"33TWG4",24,30,81,23,22,60,-1,-8,-21,1,NA,1,2,NA,11,1,NA,10
"33TWJ1",16,24,72,19,26,67,3,2,-5,2,2,5,2,NA,7,0,NA,2
"33TWJ3",23,23,64,23,26,69,0,3,5,2,2,3,5,NA,15,3,NA,12
"33TWJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,1,3,-2,0,1
"33TWK1",31,14,55,33,19,55,2,5,0,6,3,15,6,NA,10,0,NA,-5
"33TWK2",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,11,4,1,10,-2,0,-1
"33TWK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,NA,8,NA,NA,2
"33TWK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,1,NA,7,NA,NA,-6
"33TWL1",34,18,69,45,27,78,11,9,9,3,1,13,5,NA,21,2,NA,8
"33TWL2",32,20,72,40,19,76,8,-1,4,4,3,15,9,NA,19,5,NA,4
"33TWL3",33,22,77,33,24,78,0,2,1,7,3,25,4,NA,19,-3,NA,-6
"33TWL4",20,16,65,30,18,66,10,2,1,2,NA,7,2,NA,13,0,NA,6
"33TWM1",36,17,71,47,22,78,11,5,7,6,1,10,11,3,30,5,2,20
"33TWM2",34,20,76,48,24,85,14,4,9,4,2,13,3,NA,11,-1,NA,-2
"33TWM3",33,24,84,38,28,87,5,4,3,5,2,12,11,1,27,6,-1,15
"33TWM4",33,27,89,41,31,93,8,4,4,3,3,12,5,1,17,2,-2,5
"33TWN1",39,16,63,43,17,64,4,1,1,1,NA,5,6,1,16,5,NA,11
"33TWN2",38,16,61,44,22,72,6,6,11,NA,NA,1,13,3,41,NA,NA,40
"33TWN3",39,18,60,45,20,72,6,2,12,NA,NA,NA,7,4,22,NA,NA,NA
"33TWN4",38,19,75,43,21,78,5,2,3,NA,NA,2,9,2,26,NA,NA,24
"33TXE1",14,19,58,22,22,67,8,3,9,NA,NA,NA,NA,NA,11,NA,NA,NA
"33TXE3",13,20,49,15,18,51,2,-2,2,NA,NA,NA,NA,1,7,NA,NA,NA
"33TXF1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"33TXF2",11,18,46,15,19,57,4,1,11,NA,NA,NA,NA,NA,12,NA,NA,NA
"33TXF3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA
"33TXF4",9,18,37,11,19,50,2,1,13,NA,NA,NA,NA,1,7,NA,NA,NA
"33TXH3",18,17,46,22,21,58,4,4,12,3,2,4,2,1,11,-1,-1,7
"33TXJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1,11,NA,1,9,NA,0,-2
"33TXJ2",20,20,72,22,23,70,2,3,-2,5,3,10,4,1,13,-1,-2,3
"33TXJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,14,2,NA,5,-3,NA,-9
"33TXJ4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,9,5,NA,11,1,NA,2
"33TXK1",21,19,60,26,20,68,5,1,8,NA,1,NA,NA,NA,2,NA,NA,NA
"33TXK2",19,13,43,23,15,58,4,2,15,4,1,7,NA,NA,3,NA,NA,-4
"33TXK3",25,21,72,32,22,77,7,1,5,1,NA,1,1,NA,5,0,NA,4
"33TXK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,10,NA,NA,1,NA,NA,-9
"33TXL1",26,18,63,25,22,68,-1,4,5,1,2,14,2,NA,15,1,NA,1
"33TXL2",28,22,69,31,23,78,3,1,9,3,1,14,2,NA,11,-1,NA,-3
"33TXL3",33,24,82,29,22,78,-4,-2,-4,2,2,11,NA,NA,5,NA,NA,-6
"33TXL4",30,23,75,30,22,76,0,-1,1,5,2,13,1,NA,10,-4,NA,-3
"33TXM1",31,22,80,34,30,77,3,8,-3,3,2,10,3,NA,7,0,NA,-3
"33TXM2",28,18,71,32,24,79,4,6,8,4,4,13,3,1,12,-1,-3,-1
"33TXM3",26,29,88,36,33,88,10,4,0,3,1,13,2,1,9,-1,0,-4
"33TXM4",29,21,74,30,23,82,1,2,8,2,2,1,1,1,5,-1,-1,4
"33TXN1",33,34,86,38,36,98,5,2,12,3,3,13,8,4,32,5,1,19
"33TXN2",31,19,68,37,25,82,6,6,14,NA,NA,1,5,NA,16,NA,NA,15
"33TXN3",23,26,72,32,29,92,9,3,20,1,1,6,1,3,16,0,2,10
"33TXN4",23,21,63,30,26,76,7,5,13,NA,1,1,1,NA,5,NA,NA,4
"33TYE1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"33TYF2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA
"33TYH1",26,18,68,28,29,85,2,11,17,3,2,8,1,NA,5,-2,NA,-3
"33TYH2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,NA,1,0,NA,-2
"33TYJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,10,1,NA,NA,-1,NA,NA
"33TYJ2",26,22,60,35,24,72,9,2,12,6,3,11,1,NA,5,-5,NA,-6
"33TYK1",20,18,66,19,17,58,-1,-1,-8,2,1,12,NA,NA,2,NA,NA,-10
"33TYK2",27,11,44,29,14,51,2,3,7,3,2,6,1,NA,2,-2,NA,-4
"33TYL1",22,20,67,27,22,80,5,2,13,2,3,12,NA,NA,6,NA,NA,-6
"33TYL2",31,21,70,34,26,76,3,5,6,5,3,15,5,NA,13,0,NA,-2
"33TYM1",24,27,78,33,27,82,9,0,4,3,NA,9,2,1,9,-1,NA,0
"33TYM2",25,23,74,33,23,73,8,0,-1,2,NA,4,3,NA,11,1,NA,7
"33TYN1",27,30,86,37,29,90,10,-1,4,2,NA,1,1,NA,8,-1,NA,7
"33TYN2",29,29,81,34,26,86,5,-3,5,1,2,4,2,1,9,1,-1,5
"33UUA2",34,33,74,41,33,77,7,0,3,1,NA,3,7,1,26,6,NA,23
"33UUA4",36,36,86,43,40,91,7,4,5,1,NA,3,7,NA,24,6,NA,21
"33UUB3",31,37,75,40,41,85,9,4,10,12,2,26,15,2,30,3,0,4
"33UUB4",30,31,73,27,32,72,-3,1,-1,5,1,21,11,1,24,6,0,3
"33UUP1",33,21,68,36,24,72,3,3,4,1,1,5,8,1,18,7,0,13
"33UUP2",35,24,77,47,29,79,12,5,2,12,2,32,14,3,36,2,1,4
"33UUP3",33,23,73,39,25,76,6,2,3,3,2,20,8,2,29,5,0,9
"33UUP4",33,20,72,43,25,75,10,5,3,17,2,37,11,2,35,-6,0,-2
"33UUQ1",39,28,82,46,33,85,7,5,3,3,3,11,3,NA,18,0,NA,7
"33UUQ2",37,27,78,43,29,84,6,2,6,4,NA,4,7,2,23,3,NA,19
"33UUQ3",41,26,87,46,23,80,5,-3,-7,1,NA,1,3,1,11,2,NA,10
"33UUQ4",40,25,83,47,20,69,7,-5,-14,3,1,11,16,NA,27,13,NA,16
"33UUR1",39,26,78,47,32,84,8,6,6,2,NA,9,5,NA,21,3,NA,12
"33UUR2",41,27,80,46,28,86,5,1,6,2,1,7,5,NA,13,3,NA,6
"33UUR3",39,28,81,48,32,91,9,4,10,1,1,1,2,NA,15,1,NA,14
"33UUR4",37,26,85,44,26,83,7,0,-2,NA,NA,NA,4,NA,12,NA,NA,NA
"33UUS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,4,33,NA,NA,32
"33UUS2",37,23,74,45,28,82,8,5,8,NA,NA,3,7,2,28,NA,NA,25
"33UUS3",33,25,74,43,28,84,10,3,10,1,NA,5,6,1,17,5,NA,12
"33UUS4",37,22,72,44,25,78,7,3,6,2,NA,1,11,1,27,9,NA,26
"33UUT1",32,25,78,43,27,81,11,2,3,NA,NA,1,8,2,24,NA,NA,23
"33UUT2",34,32,79,43,37,92,9,5,13,NA,NA,1,7,4,27,NA,NA,26
"33UUT3",33,29,72,42,30,84,9,1,12,1,NA,11,6,1,26,5,NA,15
"33UUT4",31,27,72,43,33,85,12,6,13,NA,NA,NA,7,2,26,NA,NA,NA
"33UUU1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,16,2,NA,NA
"33UUU2",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,7,9,1,29,8,NA,22
"33UUU3",36,29,77,43,28,85,7,-1,8,4,NA,16,10,NA,25,6,NA,9
"33UUU4",35,30,83,43,33,89,8,3,6,3,2,18,9,3,38,6,1,20
"33UUV1",33,29,76,40,32,82,7,3,6,1,NA,8,10,1,28,9,NA,20
"33UUV2",36,31,84,41,29,86,5,-2,2,NA,NA,1,7,NA,28,NA,NA,27
"33UUV3",32,33,80,41,36,86,9,3,6,NA,NA,5,7,NA,25,NA,NA,20
"33UUV4",32,29,76,44,31,87,12,2,11,1,NA,3,9,NA,21,8,NA,18
"33UVA2",34,31,74,39,26,73,5,-5,-1,NA,NA,1,8,NA,20,NA,NA,19
"33UVB1",38,35,81,43,38,86,5,3,5,15,2,28,18,1,33,3,-1,5
"33UVB2",28,27,64,29,29,71,1,2,7,4,NA,13,9,1,25,5,NA,12
"33UVP1",38,16,62,44,22,73,6,6,11,7,1,25,10,2,34,3,1,9
"33UVP2",40,20,68,49,26,78,9,6,10,15,3,43,12,2,35,-3,-1,-8
"33UVP3",39,19,70,43,24,68,4,5,-2,9,1,15,9,1,29,0,0,14
"33UVP4",40,18,69,47,24,75,7,6,6,15,3,42,11,1,37,-4,-2,-5
"33UVQ1",40,29,83,49,30,94,9,1,11,1,NA,3,3,1,11,2,NA,8
"33UVQ2",43,29,89,50,38,96,7,9,7,2,1,4,7,NA,12,5,NA,8
"33UVQ3",37,28,83,43,25,89,6,-3,6,1,NA,1,2,NA,4,1,NA,3
"33UVQ4",43,32,97,48,35,97,5,3,0,2,2,8,5,NA,20,3,NA,12
"33UVR1",36,27,83,46,32,86,10,5,3,NA,1,NA,5,2,16,NA,1,NA
"33UVR2",37,24,79,48,28,84,11,4,5,1,NA,1,9,2,19,8,NA,18
"33UVR3",35,26,77,42,30,87,7,4,10,2,NA,1,8,3,21,6,NA,20
"33UVR4",36,25,83,44,26,85,8,1,2,2,NA,7,9,4,26,7,NA,19
"33UVS1",38,27,77,45,29,84,7,2,7,NA,NA,NA,7,2,27,NA,NA,NA
"33UVS2",38,26,84,47,28,86,9,2,2,NA,NA,1,9,3,28,NA,NA,27
"33UVS3",38,30,83,45,31,91,7,1,8,NA,NA,3,8,1,28,NA,NA,25
"33UVS4",37,27,83,44,27,84,7,0,1,NA,NA,2,5,2,24,NA,NA,22
"33UVT1",34,32,80,43,30,84,9,-2,4,NA,NA,5,6,1,22,NA,NA,17
"33UVT2",35,27,70,44,36,89,9,9,19,NA,NA,NA,6,NA,23,NA,NA,NA
"33UVT3",32,32,72,43,33,86,11,1,14,3,NA,9,5,NA,21,2,NA,12
"33UVT4",33,30,82,44,32,88,11,2,6,2,1,13,6,1,18,4,0,5
"33UVU1",36,30,84,43,36,93,7,6,9,5,NA,9,10,1,29,5,NA,20
"33UVU2",34,32,78,43,35,87,9,3,9,8,1,23,13,3,35,5,2,12
"33UVU3",35,37,89,41,36,85,6,-1,-4,1,1,2,5,1,15,4,0,13
"33UVU4",34,37,92,42,41,92,8,4,0,3,1,17,6,1,26,3,0,9
"33UVV1",30,33,76,43,40,89,13,7,13,NA,NA,4,5,NA,24,NA,NA,20
"33UVV2",34,31,86,40,33,90,6,2,4,2,1,3,6,NA,20,4,NA,17
"33UVV3",37,39,87,40,34,87,3,-5,0,3,1,13,6,NA,16,3,NA,3
"33UVV4",35,38,90,44,33,90,9,-5,0,7,1,15,7,2,27,0,1,12
"33UWA2",29,28,71,35,28,76,6,0,5,1,NA,2,2,1,4,1,NA,2
"33UWA4",36,31,82,43,32,79,7,1,-3,1,NA,2,2,NA,11,1,NA,9
"33UWP1",38,21,71,46,25,80,8,4,9,1,NA,5,5,4,22,4,NA,17
"33UWP2",40,17,69,47,25,72,7,8,3,3,NA,8,7,3,24,4,NA,16
"33UWP3",31,20,75,44,24,82,13,4,7,2,NA,2,9,5,28,7,NA,26
"33UWP4",38,22,70,47,23,76,9,1,6,6,3,8,9,5,29,3,2,21
"33UWQ1",35,25,78,46,27,84,11,2,6,NA,NA,NA,4,NA,17,NA,NA,NA
"33UWQ2",40,26,84,43,27,82,3,1,-2,NA,NA,1,5,NA,12,NA,NA,11
"33UWQ3",33,26,76,45,30,86,12,4,10,NA,1,4,4,NA,9,NA,NA,5
"33UWQ4",34,25,87,44,32,92,10,7,5,1,NA,NA,5,1,19,4,NA,NA
"33UWR1",36,29,83,43,33,95,7,4,12,1,NA,NA,6,1,15,5,NA,NA
"33UWR2",37,29,84,43,30,92,6,1,8,NA,NA,2,2,1,9,NA,NA,7
"33UWR3",40,28,92,44,31,90,4,3,-2,4,1,11,9,1,24,5,0,13
"33UWR4",38,30,85,44,30,91,6,0,6,NA,NA,NA,4,NA,11,NA,NA,NA
"33UWS1",36,25,79,41,27,85,5,2,6,6,NA,11,3,NA,13,-3,NA,2
"33UWS2",38,26,84,47,27,84,9,1,0,8,1,12,5,1,18,-3,0,6
"33UWS3",34,30,83,41,32,86,7,2,3,9,1,19,3,1,11,-6,0,-8
"33UWS4",39,23,83,46,29,86,7,6,3,11,1,15,8,1,24,-3,0,9
"33UWT1",33,27,79,40,28,85,7,1,6,4,1,16,7,NA,20,3,NA,4
"33UWT2",38,25,80,41,26,82,3,1,2,2,NA,14,2,NA,8,0,NA,-6
"33UWT3",34,30,85,38,29,81,4,-1,-4,2,NA,5,2,1,12,0,NA,7
"33UWT4",34,31,84,42,33,83,8,2,-1,6,1,15,4,NA,9,-2,NA,-6
"33UWU1",35,31,85,41,28,85,6,-3,0,2,NA,NA,2,NA,13,0,NA,NA
"33UWU2",34,32,81,40,35,87,6,3,6,10,1,21,7,NA,13,-3,NA,-8
"33UWU3",35,31,86,42,30,84,7,-1,-2,9,1,20,5,1,15,-4,0,-5
"33UWU4",34,27,84,41,29,85,7,2,1,4,1,17,3,NA,15,-1,NA,-2
"33UWV1",34,27,74,43,31,84,9,4,10,3,2,15,3,NA,10,0,NA,-5
"33UWV2",36,30,82,38,32,86,2,2,4,NA,NA,7,5,NA,16,NA,NA,9
"33UWV3",35,24,71,42,27,80,7,3,9,2,1,12,1,NA,7,-1,NA,-5
"33UWV4",35,24,75,42,29,88,7,5,13,4,1,11,4,1,15,0,0,4
"33UXA1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,2,NA,8,NA,NA,-1
"33UXA2",35,28,80,42,31,84,7,3,4,2,2,13,4,NA,10,2,NA,-3
"33UXA3",35,29,82,43,33,83,8,4,1,1,1,7,4,NA,10,3,NA,3
"33UXA4",37,26,78,41,30,76,4,4,-2,4,2,14,2,NA,13,-2,NA,-1
"33UXP1",27,27,82,38,33,92,11,6,10,NA,NA,1,8,2,18,NA,NA,17
"33UXP2",32,30,90,40,36,93,8,6,3,3,5,9,15,5,40,12,0,31
"33UXP3",36,34,92,40,29,87,4,-5,-5,NA,NA,NA,9,1,13,NA,NA,NA
"33UXP4",32,32,95,38,34,95,6,2,0,2,2,7,6,4,22,4,2,15
"33UXQ1",35,23,79,43,24,86,8,1,7,3,2,NA,8,2,24,5,0,NA
"33UXQ2",40,30,96,44,34,100,4,4,4,2,NA,4,5,3,17,3,NA,13
"33UXQ3",38,31,89,50,32,98,12,1,9,NA,NA,NA,10,2,21,NA,NA,NA
"33UXQ4",37,33,96,48,35,94,11,2,-2,NA,NA,1,5,NA,16,NA,NA,15
"33UXR1",41,24,78,44,32,89,3,8,11,12,2,18,10,2,19,-2,0,1
"33UXR2",38,26,80,46,28,88,8,2,8,NA,NA,2,7,NA,15,NA,NA,13
"33UXR3",39,24,83,47,33,92,8,9,9,8,2,25,5,1,22,-3,-1,-3
"33UXR4",40,27,93,47,30,90,7,3,-3,1,1,6,6,1,13,5,0,7
"33UXS1",33,31,87,43,34,85,10,3,-2,4,1,16,6,1,22,2,0,6
"33UXS2",32,23,74,45,33,89,13,10,15,9,1,12,6,NA,20,-3,NA,8
"33UXS3",35,31,85,42,35,85,7,4,0,3,NA,6,8,NA,18,5,NA,12
"33UXS4",36,28,83,42,28,87,6,0,4,7,2,21,4,1,16,-3,-1,-5
"33UXT1",34,36,89,40,36,87,6,0,-2,3,1,17,4,NA,18,1,NA,1
"33UXT2",36,30,82,40,34,87,4,4,5,3,NA,9,2,1,11,-1,NA,2
"33UXT3",33,34,85,39,36,83,6,2,-2,6,2,21,4,NA,17,-2,NA,-4
"33UXT4",36,31,87,40,35,88,4,4,1,4,NA,17,3,NA,16,-1,NA,-1
"33UXU1",34,34,85,42,37,83,8,3,-2,6,1,18,2,NA,17,-4,NA,-1
"33UXU2",34,31,80,39,30,86,5,-1,6,8,1,22,7,1,23,-1,0,1
"33UXU3",31,29,83,39,30,84,8,1,1,3,1,12,2,NA,17,-1,NA,5
"33UXU4",32,26,73,37,30,84,5,4,11,3,1,10,2,NA,16,-1,NA,6
"33UXV1",34,25,74,40,29,79,6,4,5,3,2,12,3,NA,11,0,NA,-1
"33UXV2",33,28,80,44,27,84,11,-1,4,4,1,16,4,NA,10,0,NA,-6
"33UXV3",37,31,80,42,33,80,5,2,0,4,2,15,4,NA,10,0,NA,-5
"33UXV4",34,30,87,41,29,81,7,-1,-6,7,1,14,7,1,18,0,0,4
"33UYP1",32,25,78,42,25,82,10,0,4,NA,NA,NA,6,2,16,NA,NA,NA
"33UYP2",26,28,82,30,32,89,4,4,7,NA,NA,3,NA,NA,2,NA,NA,-1
"33VUC2",32,26,67,36,34,84,4,8,17,10,1,24,10,1,28,0,0,4
"33VUC3",40,31,76,47,36,88,7,5,12,9,1,23,15,2,30,6,1,7
"33VUC4",38,34,81,40,35,84,2,1,3,11,NA,26,16,1,32,5,NA,6
"33VUD1",38,32,76,40,36,86,2,4,10,6,1,18,14,1,27,8,0,9
"33VUD2",35,32,79,42,38,84,7,6,5,5,2,16,14,1,27,9,-1,11
"33VUD3",37,27,69,41,33,73,4,6,4,5,NA,10,12,1,27,7,NA,17
"33VUD4",39,28,69,42,30,75,3,2,6,7,2,16,12,1,25,5,-1,9
"33VUE3",36,29,75,45,37,83,9,8,8,6,1,17,9,1,24,3,0,7
"33VUE4",37,28,67,41,34,75,4,6,8,5,NA,10,10,1,30,5,NA,20
"33VUF3",34,26,69,43,34,77,9,8,8,4,NA,13,9,NA,24,5,NA,11
"33VUF4",35,26,66,40,37,74,5,11,8,3,NA,12,11,1,22,8,NA,10
"33VUG3",35,20,60,39,25,66,4,5,6,10,NA,18,10,1,24,0,NA,6
"33VUG4",35,23,67,45,31,71,10,8,4,7,NA,18,12,NA,23,5,NA,5
"33VUH3",38,20,61,40,24,67,2,4,6,12,NA,15,12,NA,19,0,NA,4
"33VUH4",37,18,60,40,25,67,3,7,7,9,NA,19,10,1,16,1,NA,-3
"33VUJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,14,8,NA,14,1,NA,0
"33VUJ4",41,24,75,41,26,73,0,2,-2,10,NA,20,11,1,20,1,NA,0
"33VUK3",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,14,7,NA,14,0,NA,0
"33VUK4",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,17,7,1,17,0,NA,0
"33VUL3",34,21,62,32,22,61,-2,1,-1,6,NA,12,8,NA,19,2,NA,7
"33VUL4",36,23,64,36,26,70,0,3,6,4,NA,11,6,NA,19,2,NA,8
"33VVC1",37,27,73,41,32,74,4,5,1,6,1,21,15,1,28,9,0,7
"33VVC2",39,36,76,46,37,79,7,1,3,11,NA,27,16,2,31,5,NA,4
"33VVC3",35,29,73,43,33,75,8,4,2,9,1,21,15,1,26,6,0,5
"33VVC4",40,36,86,48,41,87,8,5,1,10,1,16,17,NA,30,7,NA,14
"33VVD1",34,28,74,41,30,76,7,2,2,8,NA,13,15,1,28,7,NA,15
"33VVD2",36,31,75,43,33,75,7,2,0,6,NA,16,14,2,27,8,NA,11
"33VVD3",34,25,67,44,32,75,10,7,8,6,1,15,12,1,26,6,0,11
"33VVD4",36,27,70,42,33,74,6,6,4,7,2,19,12,1,28,5,-1,9
"33VVE1",33,33,77,44,36,84,11,3,7,11,1,22,15,1,32,4,0,10
"33VVE2",36,27,69,45,33,80,9,6,11,7,NA,17,15,1,31,8,NA,14
"33VVE3",35,33,78,44,34,83,9,1,5,9,1,18,13,1,27,4,0,9
"33VVE4",35,24,69,43,35,81,8,11,12,10,NA,20,14,1,30,4,NA,10
"33VVF1",33,30,72,44,35,81,11,5,9,4,NA,14,13,1,26,9,NA,12
"33VVF2",33,28,71,42,35,76,9,7,5,3,NA,6,12,1,25,9,NA,19
"33VVF3",35,29,72,47,35,83,12,6,11,12,1,17,15,1,26,3,0,9
"33VVF4",36,30,72,44,35,80,8,5,8,9,NA,11,13,NA,26,4,NA,15
"33VVG1",35,19,62,38,22,61,3,3,-1,7,2,17,7,1,18,0,-1,1
"33VVG2",34,25,67,43,30,72,9,5,5,5,NA,8,8,NA,19,3,NA,11
"33VVG3",35,19,64,43,29,71,8,10,7,7,NA,8,12,NA,20,5,NA,12
"33VVG4",36,20,62,41,27,70,5,7,8,7,1,10,11,NA,24,4,NA,14
"33VVH1",36,19,63,40,22,70,4,3,7,4,NA,11,5,NA,15,1,NA,4
"33VVH2",37,18,61,44,24,72,7,6,11,6,NA,6,8,NA,19,2,NA,13
"33VVH3",38,26,70,45,32,77,7,6,7,7,NA,17,10,NA,23,3,NA,6
"33VVH4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,8,NA,17,5,NA,11
"33VVJ1",37,18,63,32,18,57,-5,0,-6,2,NA,3,5,NA,11,3,NA,8
"33VVJ2",35,19,62,32,23,53,-3,4,-9,1,NA,5,4,NA,9,3,NA,4
"33VVJ3",36,19,64,37,17,64,1,-2,0,2,NA,6,4,NA,14,2,NA,8
"33VVJ4",36,17,62,32,15,61,-4,-2,-1,4,NA,8,5,NA,12,1,NA,4
"33VVK1",38,19,64,35,18,61,-3,-1,-3,2,NA,6,6,NA,15,4,NA,9
"33VVK2",38,21,64,43,18,67,5,-3,3,6,NA,8,7,NA,13,1,NA,5
"33VVK3",36,24,65,39,29,62,3,5,-3,2,NA,6,7,NA,15,5,NA,9
"33VVK4",35,19,63,39,21,65,4,2,2,3,NA,4,5,NA,12,2,NA,8
"33VVL1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,6,1,13,5,NA,11
"33VVL2",38,25,67,43,30,69,5,5,2,4,NA,10,9,1,20,5,NA,10
"33VVL3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,6,3,NA,11,0,NA,5
"33VVL4",NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,15,9,1,20,3,0,5
"33VWC1",35,27,72,40,27,71,5,0,-1,2,NA,8,13,1,24,11,NA,16
"33VWC2",39,33,83,44,39,97,5,6,14,11,1,25,15,1,30,4,0,5
"33VWC3",39,34,90,46,42,95,7,8,5,9,1,22,14,1,26,5,0,4
"33VWD1",34,25,66,42,30,72,8,5,6,10,1,15,15,1,27,5,0,12
"33VWD2",34,26,70,40,32,72,6,6,2,4,NA,11,13,1,23,9,NA,12
"33VWD3",37,30,80,43,33,84,6,3,4,4,NA,8,14,1,24,10,NA,16
"33VWD4",37,30,80,43,34,80,6,4,0,8,1,16,18,1,28,10,0,12
"33VWE1",36,29,73,43,36,84,7,7,11,9,1,20,15,1,30,6,0,10
"33VWE2",34,25,68,43,31,76,9,6,8,8,NA,13,15,1,22,7,NA,9
