"polygon_id","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","delta_forest_sp","delta_agriculture_sp","delta_generalist_sp"
"1_050",398500000,721480000,5170000,518640000,856210000,2.5e+09,32,28,62,122,658310000,631120000,18430000,38520000,1153620000,2.5e+09,23,14,62,99,-9,-14,0
"1_051",363420000,1231180000,19020000,141690000,744690000,2.5e+09,35,31,65,131,289820000,1128300000,32400000,58280000,991200000,2.5e+09,21,13,53,87,-14,-18,-12
"1_052",286230000,1301070000,12350000,122270000,778080000,2.5e+09,31,30,69,130,278760000,1309910000,14390000,53810000,843130000,2.5e+09,18,12,56,86,-13,-18,-13
"1_053",443140000,1173540000,7760000,81640000,793920000,2.5e+09,30,26,47,103,936380000,973730000,14660000,6470000,568760000,2.5e+09,15,12,44,71,-15,-14,-3
"1_054",932070000,543190000,27280000,174790000,822670000,2.5e+09,31,29,62,122,932320000,351770000,40870000,172930000,1002110000,2.5e+09,17,13,53,83,-14,-16,-9
"1_055",858840000,549600000,10720000,330700000,750140000,2.5e+09,25,21,42,88,962640000,422910000,17520000,50010000,1046920000,2.5e+09,12,7,41,60,-13,-14,-1
"1_056",606810000,682430000,2430000,213720000,994610000,2.5e+09,32,34,77,143,593010000,669810000,8110000,273350000,955720000,2.5e+09,24,18,71,113,-8,-16,-6
"1_057",303540000,1296320000,4920000,258270000,636950000,2.5e+09,31,31,68,130,86650000,1243240000,9950000,464260000,695900000,2.5e+09,24,19,68,111,-7,-12,0
"1_058",220280000,1427780000,5510000,536900000,309530000,2.5e+09,36,36,84,156,138430000,1375380000,11360000,691490000,283340000,2.5e+09,21,18,62,101,-15,-18,-22
"1_059",666910000,1084110000,1400000,84710000,662870000,2.5e+09,31,32,64,127,324290000,883140000,7590000,252620000,1032360000,2.5e+09,22,15,66,103,-9,-17,2
"1_060",582370000,136120000,3930000,562130000,1215450000,2.5e+09,23,28,55,106,663010000,186100000,4540000,337870000,1308480000,2.5e+09,14,13,54,81,-9,-15,-1
"1_061",1120680000,441330000,16380000,241070000,680540000,2.5e+09,28,28,61,117,887670000,241270000,21550000,295890000,1053620000,2.5e+09,19,15,54,88,-9,-13,-7
"1_062",5310000,35110000,2610000,69960000,1727050000,1840040000,34,19,50,103,9570000,28480000,3e+06,78790000,1720200000,1840040000,10,18,34,62,-24,-1,-16
"1_063",58030000,57560000,3030000,235730000,1982800000,2337150000,35,16,49,100,88650000,24020000,2800000,257130000,1964550000,2337150000,8,13,32,53,-27,-3,-17
"1_064",37110000,112050000,7280000,518800000,1824760000,2.5e+09,39,19,53,111,40170000,64350000,8810000,545610000,1841060000,2.5e+09,10,14,37,61,-29,-5,-16
"1_065",27670000,84540000,2040000,194440000,2191310000,2.5e+09,26,17,38,81,32590000,143050000,3040000,109030000,2212290000,2.5e+09,9,16,40,65,-17,-1,2
"1_066",119890000,190870000,8900000,946780000,1233560000,2.5e+09,25,14,33,72,168700000,319410000,11830000,836180000,1163880000,2.5e+09,7,17,41,65,-18,3,8
"1_067",32620000,163980000,13840000,594360000,1695200000,2.5e+09,34,18,50,102,85680000,250090000,16430000,477660000,1670140000,2.5e+09,10,12,38,60,-24,-6,-12
"1_068",23120000,113910000,1970000,68970000,2285240000,2493210000,33,16,44,93,27190000,115700000,2390000,23680000,2324250000,2493210000,11,19,41,71,-22,3,-3
"1_069",112360000,353130000,9530000,548640000,1476340000,2.5e+09,34,17,47,98,125210000,176200000,11700000,698600000,1488290000,2.5e+09,6,21,44,71,-28,4,-3
"1_070",36010000,117270000,4400000,164190000,2113940000,2435810000,35,19,58,112,59540000,148750000,7580000,97180000,2122760000,2435810000,11,13,34,58,-24,-6,-24
"1_071",70190000,171530000,16580000,497740000,1743960000,2.5e+09,35,18,47,100,83130000,213150000,20830000,458070000,1724820000,2.5e+09,9,15,44,68,-26,-3,-3
"1_072",173250000,328050000,26870000,847960000,1123870000,2.5e+09,32,19,47,98,249280000,174700000,42650000,946390000,1086980000,2.5e+09,6,12,39,57,-26,-7,-8
"1_073",184890000,326790000,16720000,1151030000,820570000,2.5e+09,33,20,50,103,186730000,371930000,30640000,1065320000,845380000,2.5e+09,6,18,47,71,-27,-2,-3
"1_074",10730000,71200000,8280000,96140000,2151720000,2338070000,36,20,58,114,11450000,79630000,11290000,77760000,2157940000,2338070000,11,21,48,80,-25,1,-10
"1_075",185500000,543890000,23630000,1571560000,175420000,2.5e+09,32,17,44,93,185020000,222810000,29250000,1902980000,159940000,2.5e+09,5,12,34,51,-27,-5,-10
"1_076",35240000,442590000,82760000,862160000,1077250000,2.5e+09,23,15,39,77,33070000,204340000,93150000,1099260000,1070180000,2.5e+09,7,10,42,59,-16,-5,3
"1_077",86140000,3.86e+08,17830000,713850000,1275780000,2479600000,31,17,43,91,96250000,261300000,24860000,832230000,1264960000,2479600000,9,13,42,64,-22,-4,-1
"1_078",39890000,143120000,70100000,1981400000,265490000,2.5e+09,32,18,36,86,111540000,91740000,74050000,2004100000,218570000,2.5e+09,5,14,42,61,-27,-4,6
"1_079",134840000,317640000,20500000,1632530000,394490000,2.5e+09,31,16,35,82,194690000,186900000,20960000,1751400000,346050000,2.5e+09,6,16,39,61,-25,0,4
"1_080",121150000,308250000,18760000,1766180000,285660000,2.5e+09,30,17,39,86,225980000,165120000,22430000,1852520000,233950000,2.5e+09,4,10,39,53,-26,-7,0
"1_081",28230000,101980000,30650000,1788660000,550480000,2.5e+09,31,19,46,96,66160000,70720000,33350000,1826770000,5.03e+08,2.5e+09,6,16,43,65,-25,-3,-3
"1_082",106350000,117800000,21480000,2062810000,191560000,2.5e+09,29,16,39,84,93020000,103460000,38200000,2055300000,210020000,2.5e+09,5,10,39,54,-24,-6,0
"1_083",33710000,159810000,90490000,2009740000,206250000,2.5e+09,36,19,45,100,39980000,175990000,129700000,1931310000,223020000,2.5e+09,6,16,43,65,-30,-3,-2
"1_084",41040000,161160000,59130000,453950000,1734450000,2449730000,34,20,54,108,66270000,129390000,70730000,481710000,1701630000,2449730000,11,19,47,77,-23,-1,-7
"1_085",64280000,106160000,24680000,628460000,1676420000,2.5e+09,34,20,52,106,57760000,83090000,35880000,618560000,1704710000,2.5e+09,9,14,38,61,-25,-6,-14
