"Forest","Agriculture","Urban","Grassland","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
2.37e+08,1144870000,150290000,240240000,727600000,2.5e+09,42,104,146
4690000,88740000,40670000,12080000,1969870000,2116050000,33,85,118
263480000,1636930000,105190000,391910000,102490000,2.5e+09,40,97,137
40760000,926270000,195100000,536320000,801550000,2.5e+09,35,103,138
487610000,954170000,8890000,158290000,891040000,2.5e+09,26,79,105
179570000,1788640000,7480000,3270000,521040000,2.5e+09,31,96,127
131700000,1965880000,24820000,1710000,375890000,2.5e+09,41,112,153
196100000,1695170000,17150000,42350000,549230000,2.5e+09,36,105,141
499460000,1443880000,5860000,2480000,548320000,2.5e+09,35,111,146
1164500000,229800000,12190000,713960000,379550000,2.5e+09,41,110,151
625470000,1248390000,48850000,15770000,561520000,2.5e+09,38,118,156
1044700000,457090000,24360000,808400000,165450000,2.5e+09,38,104,142
1237830000,364860000,2440000,153880000,740990000,2.5e+09,34,105,139
650180000,53060000,37850000,650000,1449160000,2190900000,27,72,99
595070000,510110000,177160000,212230000,972170000,2466740000,37,90,127
1710380000,455660000,58930000,10740000,264290000,2.5e+09,28,71,99
595790000,1609260000,89470000,177260000,28220000,2.5e+09,33,91,124
268400000,2860000,36110000,850000,1436480000,1744700000,30,74,104
271530000,12310000,58320000,30000,1545270000,1887460000,32,70,102
711380000,499790000,355840000,136650000,796340000,2.5e+09,39,95,134
95670000,131240000,60190000,42800000,1845780000,2175680000,37,96,133
67030000,11850000,16070000,4190000,1488310000,1587450000,31,70,101
293760000,1712970000,99840000,290600000,102830000,2.5e+09,39,101,140
334950000,1135200000,45670000,245910000,738270000,2.5e+09,35,88,123
102240000,1881020000,110690000,393150000,12900000,2.5e+09,37,99,136
40580000,625090000,130990000,231520000,1471820000,2.5e+09,43,110,153
144570000,1729910000,79800000,536400000,9320000,2.5e+09,34,92,126
122150000,1965140000,124950000,272650000,15110000,2.5e+09,38,93,131
172030000,1724640000,70970000,508740000,23620000,2.5e+09,38,95,133
86690000,1586510000,283360000,478830000,64610000,2.5e+09,40,104,144
135830000,1352160000,155620000,816120000,40270000,2.5e+09,40,96,136
129650000,1703280000,103900000,547670000,15500000,2.5e+09,37,88,125
810760000,523760000,540000,174230000,990710000,2.5e+09,30,91,121
105690000,2070470000,12160000,0,311680000,2.5e+09,30,90,120
476550000,1254270000,7030000,31230000,730920000,2.5e+09,45,129,174
181910000,1949230000,6800000,4990000,357070000,2.5e+09,34,105,139
832090000,589140000,90280000,717830000,270660000,2.5e+09,38,105,143
873500000,159330000,8640000,486100000,972430000,2.5e+09,34,114,148
449870000,1535440000,152210000,245050000,117430000,2.5e+09,29,76,105
1371640000,761720000,42530000,113280000,210830000,2.5e+09,30,72,102
261140000,2068690000,107120000,50980000,12070000,2.5e+09,33,96,129
536380000,1595500000,32230000,108820000,227070000,2.5e+09,30,85,115
274950000,1777050000,99700000,330120000,18180000,2.5e+09,33,86,119
586180000,1239560000,84900000,565260000,24100000,2.5e+09,40,99,139
524930000,1607940000,118530000,193780000,54820000,2.5e+09,42,100,142
29850000,260420000,40150000,344060000,1825520000,2.5e+09,30,72,102
158680000,443870000,59330000,681430000,1156690000,2.5e+09,36,84,120
48050000,147670000,14610000,645280000,1384920000,2240530000,29,78,107
5370000,75550000,5560000,232230000,1466730000,1785440000,31,65,96
1890000,78430000,29480000,404970000,1829880000,2344650000,36,88,124
41330000,115520000,187470000,580300000,1575380000,2.5e+09,27,66,93
22110000,225070000,46300000,887620000,1318570000,2499670000,27,64,91
323120000,29270000,0,377660000,1769950000,2.5e+09,25,72,97
199420000,68520000,90520000,654370000,1487170000,2.5e+09,32,79,111
248470000,44640000,11300000,490690000,1704900000,2.5e+09,40,93,133
29600000,653710000,142240000,47080000,1627370000,2.5e+09,37,83,120
20640000,319350000,37250000,18520000,2101890000,2497650000,36,86,122
89290000,317310000,91340000,638070000,1362970000,2498980000,36,92,128
59970000,94990000,35130000,711920000,1597990000,2.5e+09,26,63,89
238490000,391710000,22600000,1741120000,106080000,2.5e+09,32,79,111
127850000,348440000,85320000,709940000,1228450000,2.5e+09,29,84,113
1.63e+08,622920000,141700000,1130780000,441600000,2.5e+09,31,89,120
234730000,43550000,5360000,1889090000,327270000,2.5e+09,35,91,126
98800000,148360000,175920000,1061110000,1015810000,2.5e+09,36,85,121
181070000,142980000,14040000,2002560000,159350000,2.5e+09,33,79,112
345770000,249810000,369530000,1276590000,258300000,2.5e+09,34,84,118
40370000,86040000,38270000,747160000,1588160000,2.5e+09,39,97,136
251040000,21230000,13290000,789110000,1424300000,2498970000,33,88,121
255310000,200550000,69410000,1646610000,328120000,2.5e+09,33,79,112
279510000,238040000,14620000,1819050000,148780000,2.5e+09,36,79,115
31280000,92960000,182330000,249020000,1701910000,2257500000,26,84,110
239010000,48330000,10530000,997360000,1204770000,2.5e+09,39,99,138
99170000,85770000,49970000,1322900000,942190000,2.5e+09,33,87,120
127920000,41760000,26050000,918360000,1385910000,2.5e+09,48,107,155
2.24e+08,185240000,471150000,1442480000,177130000,2.5e+09,30,74,104
575620000,31050000,16030000,1516030000,361270000,2.5e+09,29,66,95
250110000,354660000,192540000,1087490000,615200000,2.5e+09,38,93,131
572300000,84040000,22610000,1351050000,4.7e+08,2.5e+09,35,85,120
248590000,1450540000,120930000,151310000,528630000,2.5e+09,35,88,123
179460000,1777030000,144010000,198540000,200960000,2.5e+09,31,78,109
275310000,1923330000,76220000,135210000,89930000,2.5e+09,32,83,115
414640000,1735990000,63880000,207910000,77580000,2.5e+09,26,70,96
20580000,251810000,51520000,7e+06,1675380000,2006290000,30,73,103
50220000,886460000,80770000,850020000,632530000,2.5e+09,37,98,135
133680000,1431710000,119230000,806980000,8400000,2.5e+09,31,83,114
546400000,796600000,698260000,391320000,67420000,2.5e+09,32,77,109
274340000,803340000,203130000,335250000,883940000,2.5e+09,36,98,134
144350000,1518890000,59760000,767790000,9210000,2.5e+09,30,78,108
242580000,596450000,252420000,1107020000,301530000,2.5e+09,34,86,120
67990000,1693800000,210400000,524350000,3460000,2.5e+09,30,76,106
91710000,1563310000,202920000,622480000,19580000,2.5e+09,29,80,109
82590000,746650000,187680000,1471890000,11190000,2.5e+09,30,82,112
165690000,1306140000,140790000,849750000,37630000,2.5e+09,36,81,117
111030000,300620000,256620000,1769360000,62370000,2.5e+09,37,90,127
84830000,1081890000,890310000,395720000,47250000,2.5e+09,34,82,116
19100000,116490000,177280000,715670000,1471460000,2.5e+09,36,90,126
99950000,173440000,409350000,1480920000,336340000,2.5e+09,33,82,115
161150000,180450000,575370000,1156930000,426100000,2.5e+09,35,83,118
126330000,117510000,49240000,1838770000,368150000,2.5e+09,34,83,117
128390000,11990000,30470000,1932710000,396440000,2.5e+09,34,85,119
68440000,907180000,451600000,249620000,823160000,2.5e+09,37,89,126
70810000,1202010000,33710000,537480000,655990000,2.5e+09,33,91,124
617570000,208680000,9720000,1192510000,471520000,2.5e+09,33,84,117
32470000,520130000,88590000,220290000,1372390000,2233870000,39,91,130
152250000,1353300000,119530000,135550000,739370000,2.5e+09,37,88,125
220320000,1882950000,88920000,262570000,45240000,2.5e+09,29,73,102
137100000,1356850000,129310000,218790000,657950000,2.5e+09,38,93,131
300490000,1704090000,149940000,287820000,57660000,2.5e+09,29,79,108
18270000,218650000,42740000,222750000,1997590000,2.5e+09,39,99,138
211880000,560130000,315360000,297110000,1115520000,2.5e+09,37,97,134
100990000,445880000,181170000,209930000,1369160000,2307130000,30,81,111
41860000,1828100000,2.24e+08,395590000,10450000,2.5e+09,30,76,106
178840000,1710420000,207400000,378200000,25140000,2.5e+09,28,76,104
214450000,899940000,1087200000,252580000,45830000,2.5e+09,33,85,118
