"cell50x50","ccv","log_ccv"
"33TVL2",7.89471520835173,1.66545270525357
"33TVL3",14.1800775996188,2.26851911348378
"33TVL4",5.98481039982547,1.43505264713843
"33TVM1",6.93212105831081,1.61670710419262
"33TVM2",5.67738489931435,1.44705214580771
"33TVM3",9.26555117470116,1.68486591588648
"33TVM4",9.35627201578012,1.85316333070127
"33TVN1",3.97437834428865,1.12262024314335
"33TVN2",47.7606148792809,1.44013163983887
"33TVN3",6.25760628530742,1.60688235983442
"33TVN4",4.46149331478961,1.25233965986105
"33TWE1",3.35492458676689,0.874178164717989
"33TWE3",4.04295486631257,1.21802098596043
"33TWF1",11.2895988512531,1.97334286301056
"33TWF2",5.30108466624837,1.21227076724184
"33TWF3",22.1135255200356,2.92106416981053
"33TWF4",6.88534928727691,1.7410232469419
"33TWG1",NA,NA
"33TWG2",20.2190909803364,2.67531598678907
"33TWG4",11.0360774702011,1.9371957463166
"33TWJ1",26.768666803808,2.89614558187864
"33TWJ3",9.31069931208556,1.99518778019027
"33TWJ4",10.5297021653987,2.19451365670648
"33TWK1",9.87579866286297,1.99059448242327
"33TWK2",11.7359171593586,1.73811634268643
"33TWK3",16.1100093990113,2.36799075465733
"33TWK4",8.57127091087381,1.77907133458236
"33TWL1",12.8441001231595,2.18972974440549
"33TWL2",23.3853375110654,2.66872107410358
"33TWL3",33.1473306623968,3.05084047454639
"33TWL4",44.0984683117594,3.5077233376656
"33TWM1",26.8683324215535,2.50261425661253
"33TWM2",16.8371545846214,2.3148608716361
"33TWM3",45.1934350797969,3.66219299636475
"33TWM4",42.7107522386219,3.26601220260573
"33TWN1",6.74043895521586,1.69936809884036
"33TWN2",14.8862054599636,2.03530483045504
"33TWN3",8.48365431579946,1.83623269125374
"33TWN4",49.910372477689,3.42145478873729
"33TXE1",12.8925653812873,1.97826750330489
"33TXE3",11.192530694576,2.05480254359441
"33TXF1",9.24508846445073,2.19366080585405
"33TXF2",16.0954726521052,2.47911821283597
"33TXF3",14.6474640425025,2.68426721757819
"33TXF4",11.5608019798491,2.26352191475218
"33TXH3",5.2353883226596,1.43334071070048
"33TXJ1",5.29587626865849,1.31018814783551
"33TXJ2",7.20601110911957,1.57045387151767
"33TXJ3",8.64377988456238,1.85290781318641
"33TXJ4",6.19226337223301,1.55500398763827
"33TXK1",18.0261740919043,2.54705634366886
"33TXK2",6.14333664288746,1.60748702490214
"33TXK3",25.8124330347829,2.8119454933393
"33TXK4",7.32146110151247,1.80626516568344
"33TXL1",62.1165414589396,3.82284391714127
"33TXL2",53.8692388929324,3.59171977532451
"33TXL3",40.3754933738867,3.47209180907706
"33TXL4",41.2163995447488,2.96830311900965
"33TXM1",55.8328835788398,3.70708546540122
"33TXM2",43.4447374008219,3.44173934603138
"33TXM3",69.3489119533585,3.77382312745086
"33TXM4",39.1927491984883,3.54703073521657
"33TXN1",44.7591328093171,3.37377117619066
"33TXN2",58.4847142269027,3.81845583261544
"33TXN3",109.099186278661,4.39660997839285
"33TXN4",66.7454977379607,3.74424921802492
"33TYE1",25.5450868825884,3.02099274769517
"33TYF2",9.18717309152549,2.07321587547629
"33UUT2",63.880327040138,3.86139557563494
"33TYH1",10.3006678951607,2.01078826621378
"33TYH2",5.60282528817053,1.48406381849565
"33TYJ1",5.72257045352205,1.51818361329492
"33TYJ2",4.17463866736752,1.0576127044739
"33TYK1",39.0886195682748,3.42681573115044
"33TYK2",7.66227168912697,1.72779156725384
"33TYL1",73.2939259975169,4.03575740106117
"33TYL2",21.5268352872478,2.67371491971435
"33TYM1",82.45173188274,3.83854320792502
"33TYM2",47.9914983614995,3.54031379043893
"33TYN1",74.7171659464266,3.94351471601429
"33TYN2",32.2016186897474,2.97694477341696
"33UUA2",62.8261103547735,3.99949704062726
"33UUA4",127.288789479808,4.52926603927889
"33UUB3",26.8830851235349,3.16745502202275
"33UUB4",47.259397753217,3.74826083001639
"33UUP1",68.2630649422086,3.97750608041823
"33UUP2",40.7554435491369,3.40958079251806
"33UUP3",35.9366526639593,3.27056943209477
"33UUP4",24.8361339150197,2.88823706395135
"33UUQ1",26.6594586183473,2.95850133593825
"33UUQ2",33.0336255545983,3.06572460770303
"33UUQ3",17.8487496466219,2.70091732384671
"33UUQ4",10.36787641327,2.08013504084907
"33UUR1",12.4208876228843,2.27233306518364
"33UUR2",20.3414467290151,2.72179230765863
"33UUR3",11.6877272609719,2.14103235627265
"33UUR4",19.7541977855832,2.8238376434201
"33UUS1",43.3240821884965,3.53909659769549
"33UUS2",21.6015376511295,2.86821637239212
"33UUS3",40.1550486281744,3.47562125751657
"33UUS4",13.5404758954266,2.41439566800566
"33UUT1",52.4327260524608,3.63171656686649
"33UUT3",70.2974699874277,3.95760327038329
"33UUT4",64.3310265353305,3.82483329750375
"33UUU1",56.3957647635205,3.89656078188556
"33UUU2",122.722391979176,4.11045603612316
"33UUU3",67.8965523457615,3.98921661521466
"33UUU4",46.5039245446575,3.56065234561136
"33UUV1",83.7776683240289,4.11306088514429
"33UUV2",92.3253670990671,4.12679368492256
"33UUV3",109.173559146089,4.33678345919395
"33UUV4",67.521442157781,3.86535020408793
"33UVA2",78.1344452585415,3.9828137522685
"33UVB1",27.7719642660212,3.09333972422417
"33UVB2",32.2903576858963,3.43878225982643
"33UVP1",14.7830782763646,2.46192849477298
"33UVP2",22.8816043945963,2.74706425096167
"33UVP3",12.3932295707949,2.33579474809955
"33UVP4",19.4606915866661,2.60288766450155
"33UVQ1",20.7336821659823,2.84669421012711
"33UVQ2",12.284227991068,2.29595784179674
"33UVQ3",22.8535394225054,2.9473204475724
"33UVQ4",28.1315614252213,3.03934942958465
"33UVR1",21.9057825584484,2.81993514809815
"33UVR2",19.1465656831674,2.73519547132318
"33UVR3",27.3969171783882,3.07362494119987
"33UVR4",30.9736258820569,2.93762627960274
"33UVS1",40.550377156056,3.3720515502575
"33UVS2",8.59749892179437,1.99238525244394
"33UVS3",51.1839987788493,3.56257227843061
"33UVS4",20.685230744606,2.73354114369444
"33UVT1",120.279662011824,4.30894254627364
"33UVT2",74.8044050627716,3.94262016378894
"33UVT3",74.916419642625,3.93181591456193
"33UVT4",57.5225299068819,3.90484320271218
"33UVU1",68.0086446522143,3.91422425235618
"33UVU2",67.4031431234156,3.88411912638309
"33UVU3",89.1011104109352,4.15511024314467
"33UVU4",78.0134475039022,3.85564723981623
"33UVV1",125.069811483172,4.44754079748116
"33UVV2",91.7342636483953,4.15194122437551
"33UVV3",143.078075191672,4.66594225860581
"33UVV4",88.458262471212,4.10996551605847
"33UWA2",42.6545882372373,3.75313484698473
"33UWA4",85.821833618283,3.99490304189182
"33UWP1",16.8023703798725,2.41808852767748
"33UWP2",12.4092239368116,2.2030396341717
"33UWP3",27.8849687604438,3.01855502861734
"33UWP4",16.4519776862141,2.49884938106754
"33UWQ1",26.543432792767,3.05719842440683
"33UWQ2",25.547586680359,2.98447419223703
"33UWQ3",20.1701459647669,2.8918983846213
"33UWQ4",20.3003919025881,2.87348693475206
"33UWR1",30.6444167044163,3.20235373414832
"33UWR2",22.7166076848171,2.89489146381099
"33UWR3",31.8067391643233,2.80602099943297
"33UWR4",25.8565113435473,2.82307691886689
"33UWS1",42.415621690073,3.49928068211348
"33UWS2",11.0655937077855,2.12312548301959
"33UWS3",68.7227243535928,3.76062338396495
"33UWS4",16.7662479737406,2.53116399262498
"33UWT1",127.774026296951,4.23750969972243
"33UWT2",87.9488609784086,4.2391860541028
"33UWT3",126.672936626934,4.46037008753161
"33UWT4",71.1313555063729,3.95264002128449
"33UWU1",127.668322947448,4.60505512025772
"33UWU2",93.8034236140923,4.11538711326183
"33UWU3",99.8407995674795,4.3584316252892
