"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"33VUF4",51,34,1456,15,19,1405
"33VUG3",424,35,980,28,7,556
"33VUG4",222,35,728,25,10,506
"33VUH3",450,31,912,27,4,462
"33VUH4",632,27,829,28,-1,197
"33VUJ3",165,22,652,21,1,487
"33VUJ4",492,32,867,30,2,375
"33VUK3",324,21,632,21,0,308
"33VUK4",135,25,485,24,1,350
"33VUL3",121,27,402,18,9,281
"33VUL4",62,25,509,15,10,447
"33VVC1",245,44,2019,28,16,1774
"33VVC2",234,49,7880,38,11,7646
"33VVC3",197,42,3432,31,11,3235
"33VVC4",68,47,3419,27,20,3351
"33VVD1",120,44,3537,21,23,3417
"33VVD2",110,43,2368,22,21,2258
"33VVD3",139,39,2024,22,17,1885
"33VVD4",136,41,3753,28,13,3617
"33VVE1",171,48,4743,34,14,4572
"33VVE2",141,47,3800,24,23,3659
"33VVE3",102,41,1630,28,13,1528
"33VVE4",285,45,5292,30,15,5007
"33VVF1",77,40,2507,18,22,2430
"33VVF2",23,38,1636,9,29,1613
"33VVF3",166,42,1993,30,12,1827
"33VVF4",76,39,832,20,19,756
"33VVG1",170,26,370,26,0,200
"33VVG2",87,27,729,13,14,642
"33VVG3",98,32,394,15,17,296
"33VVG4",196,35,481,18,17,285
"33VVH1",95,20,164,15,5,69
"33VVH2",23,27,346,12,15,323
"33VVH3",138,33,777,24,9,639
"33VVH4",31,25,344,9,16,313
"33VVJ1",15,16,99,5,11,84
"33VVJ2",20,13,99,6,7,79
"33VVJ3",40,18,267,8,10,227
"33VVJ4",48,17,157,12,5,109
"33VVK1",26,21,161,8,13,135
"33VVK2",239,20,227,14,6,-12
"33VVK3",59,22,202,8,14,143
"33VVK4",28,17,142,7,10,114
"33VVL1",31,20,94,3,17,63
"33VVL2",55,30,1103,14,16,1048
"33VVL3",95,14,60,9,5,-35
"33VVL4",202,30,1491,22,8,1289
"33VWC1",72,38,1080,10,28,1008
"33VWC2",794,46,6611,37,9,5817
"33VWC3",403,41,5605,32,9,5202
"33VWD1",175,43,2673,26,17,2498
"33VWD2",27,37,1619,15,22,1592
"33VWD3",106,39,1422,12,27,1316
"33VWD4",53,47,6530,25,22,6477
"33VWE1",336,46,7550,30,16,7214
"33VWE2",120,38,1687,21,17,1567
"33VWE3",185,42,4404,23,19,4219
"33VWE4",324,40,1803,23,17,1479
"33VWF1",278,46,7261,34,12,6983
"33VWF2",42,37,1965,19,18,1923
"33VWF3",214,43,5176,23,20,4962
"33VWF4",96,43,2841,19,24,2745
"33VWG1",175,38,965,27,11,790
"33VWG2",1252,37,971,26,11,-281
"33VWG3",98,35,1578,18,17,1480
"33VWG4",98,47,7857,21,26,7759
"33VWH1",81,21,221,11,10,140
"33VWH2",79,40,2510,18,22,2431
"33VWH3",50,28,331,14,14,281
"33VWH4",170,36,1172,15,21,1002
"33VWJ1",25,22,3210,14,8,3185
"33VWJ2",26,18,193,7,11,167
"33VWJ3",31,26,1882,13,13,1851
"33VWJ4",53,24,585,17,7,532
"33VWK1",44,24,175,12,12,131
"33VWK2",17,25,191,9,16,174
"33VWK3",30,26,281,7,19,251
"33VWK4",81,25,2485,8,17,2404
"33VWL1",53,26,520,9,17,467
"33VWL2",18,22,143,4,18,125
"33VWL3",22,18,166,7,11,144
"33VWL4",26,22,296,8,14,270
"33VXD2",78,33,1716,21,12,1638
"33VXF1",342,42,5119,34,8,4777
"33VXF2",167,43,6332,27,16,6165
"33VXF3",2335,47,26185,47,0,23850
"33VXF4",126,38,2498,32,6,2372
"33VXG1",309,43,3245,29,14,2936
"33VXG2",934,46,19883,36,10,18949
"33VXH1",17,32,528,7,25,511
"33VXH2",104,35,2782,17,18,2678
"33VXJ1",68,24,485,14,10,417
"33VXJ2",440,24,548,11,13,108
"33VXK1",27,30,1158,10,20,1131
"33VXK2",131,33,2473,21,12,2342
"33VXL1",8,14,165,5,9,157
"33VXL2",30,22,484,8,14,454
"33WUM3",295,20,674,19,1,379
"33WUM4",425,23,754,24,-1,329
"33WUN3",103,16,522,14,2,419
"33WUN4",225,17,726,12,5,501
"33WUP4",238,18,1121,14,4,883
"33WVM1",113,25,432,16,9,319
"33WVM2",721,24,1092,23,1,371
"33WVM3",149,23,370,16,7,221
"33WVM4",31,18,282,12,6,251
"33WVN1",118,20,285,20,0,167
"33WVN2",87,17,585,19,-2,498
"33WVN3",119,25,489,22,3,370
"33WVN4",39,23,753,11,12,714
"33WVP1",181,25,1171,20,5,990
"33WVP2",282,19,1539,20,-1,1257
"33WVP3",500,24,1921,23,1,1421
"33WVP4",110,18,166,20,-2,56
"33WVQ2",97,21,400,10,11,303
"33WVQ3",192,21,938,14,7,746
"33WVQ4",240,21,255,17,4,15
"33WVR4",8,7,15,1,6,7
"33WWM1",15,14,644,3,11,629
"33WWM2",96,23,296,18,5,200
"33WWM3",50,19,285,11,8,235
"33WWM4",25,23,409,8,15,384
"33WWN1",33,15,128,12,3,95
"33WWN2",23,21,286,5,16,263
"33WWN3",22,13,143,11,2,121
"33WWN4",9,17,146,3,14,137
"33WWP1",128,13,80,13,0,-48
"33WWP2",602,17,150,16,1,-452
"33WWP3",32,18,108,11,7,76
"33WWP4",668,21,672,20,1,4
"33WWQ1",240,22,899,21,1,659
"33WWQ2",519,23,551,19,4,32
"33WWQ3",37,9,48,9,0,11
"33WWQ4",9,9,24,4,5,15
"33WWR1",1394,24,1531,15,9,137
"33WWR2",151,18,400,10,8,249
"33WWR3",363,19,348,17,2,-15
"33WWR4",46,6,11,8,-2,-35
"33WWS3",164,15,113,15,0,-51
"33WWS4",239,20,901,14,6,662
"33WXM1",2,16,193,2,14,191
"33WXM2",18,15,417,9,6,399
"33WXN1",14,13,253,9,4,239
"33WXN2",14,16,216,8,8,202
"33WXP1",9,7,10,1,6,1
"33WXP2",49,9,73,14,-5,24
"33WXQ1",419,10,80,18,-8,-339
"33WXQ2",148,11,24,19,-8,-124
"33WXR1",1078,16,145,23,-7,-933
"33WXR2",30,8,92,7,1,62
"33WXS2",207,21,332,19,2,125
"34SBK4",2,6,6,1,5,4
"34SCK4",NA,9,15,NA,NA,NA
"34SDH3",NA,8,19,NA,NA,NA
"34SDJ1",1,11,33,1,10,32
"34SDJ2",NA,2,2,NA,NA,NA
"34SDJ3",1,12,55,1,11,54
"34SDJ4",NA,6,10,NA,NA,NA
"34SDK2",NA,6,9,NA,NA,NA
"34SDK4",34,15,23,5,10,-11
"34SEF3",1,4,12,1,3,11
"34SEG1",3,1,2,2,-1,-1
"34SEG3",4,8,12,2,6,8
"34SEG4",1,8,8,1,7,7
"34SEH1",NA,4,5,NA,NA,NA
"34SEH2",1,3,16,1,2,15
"34SEH3",1,4,6,1,3,5
"34SEH4",5,5,7,3,2,2
"34SEJ1",13,4,9,3,1,-4
"34SEJ2",NA,2,4,NA,NA,NA
"34SEJ3",NA,7,13,NA,NA,NA
"34SEJ4",NA,4,4,NA,NA,NA
"34SEK2",9,6,16,3,3,7
"34SFF1",2,8,15,2,6,13
"34SFF3",NA,2,2,NA,NA,NA
"34SFF4",26,3,4,2,1,-22
"34SFG1",3,10,22,3,7,19
"34SFG2",3,4,6,1,3,3
"34SFG3",NA,7,10,NA,NA,NA
"34SFG4",3,4,5,2,2,2
"34SFH1",12,7,19,6,1,7
"34SFH2",33,3,5,6,-3,-28
"34SFH3",10,8,14,4,4,4
"34SFH4",1,3,4,1,2,3
"34SFJ1",NA,3,3,NA,NA,NA
"34SFJ2",6,2,2,5,-3,-4
"34SFJ3",1,11,34,1,10,33
"34SFJ4",NA,10,35,NA,NA,NA
"34SFK2",2,6,61,2,4,59
"34SGG1",2,8,19,2,6,17
"34SGG2",NA,1,1,NA,NA,NA
"34SGH1",1,2,2,1,1,1
"34SGH2",18,16,113,6,10,95
"34SGJ2",NA,16,97,NA,NA,NA
"34SGK2",NA,9,15,NA,NA,NA
"34TBK3",1,8,31,1,7,30
"34TBM3",NA,1,6,NA,NA,NA
"34TBN3",18,2,2,16,-14,-16
"34TBN4",30,38,98,17,21,68
"34TBP3",75,10,17,25,-15,-58
"34TBP4",54,7,13,20,-13,-41
"34TBQ3",15,4,7,13,-9,-8
"34TBQ4",5,1,1,4,-3,-4
"34TBR3",36,6,9,18,-12,-27
"34TBR4",34,13,78,17,-4,44
"34TCK3",1,10,25,1,9,24
"34TCL3",NA,6,13,NA,NA,NA
"34TCL4",NA,9,31,NA,NA,NA
"34TCM1",51,43,469,17,26,418
"34TCM2",NA,2,2,NA,NA,NA
"34TCM3",3,27,110,2,25,107
"34TCM4",12,20,68,10,10,56
"34TCN1",67,32,212,23,9,145
"34TCN2",39,36,177,17,19,138
"34TCN3",27,30,175,15,15,148
"34TCN4",47,40,328,23,17,281
"34TCP1",7,2,3,6,-4,-4
"34TCP2",32,30,166,18,12,134
"34TCP3",58,9,21,21,-12,-37
"34TCP4",26,9,21,11,-2,-5
"34TCQ1",12,6,9,10,-4,-3
"34TCQ2",7,4,8,7,-3,1
"34TCQ3",48,9,20,16,-7,-28
"34TCQ4",27,8,20,15,-7,-7
"34TCR1",159,17,355,23,-6,196
"34TCR2",122,15,91,23,-8,-31
"34TCR3",124,7,11,22,-15,-113
"34TCR4",122,11,37,19,-8,-85
"34TCS1",3,8,13,3,5,10
"34TCS2",NA,7,11,NA,NA,NA
"34TCS3",17,13,46,7,6,29
"34TCS4",8,15,25,6,9,17
"34TCT1",52,32,315,21,11,263
"34TCT2",9,14,71,8,6,62
"34TCT3",34,21,170,14,7,136
"34TCT4",4,12,93,1,11,89
"34TDK1",4,6,9,2,4,5
"34TDK3",NA,5,7,NA,NA,NA
"34TDL1",NA,12,24,NA,NA,NA
"34TDL2",NA,6,9,NA,NA,NA
"34TDL3",55,12,39,17,-5,-16
"34TDL4",18,9,29,14,-5,11
"34TDM1",NA,4,6,NA,NA,NA
"34TDM2",NA,3,3,NA,NA,NA
"34TDM3",62,10,20,25,-15,-42
"34TDM4",52,9,12,25,-16,-40
"34TDN1",18,13,21,11,2,3
"34TDN2",44,46,350,23,23,306
"34TDN3",31,6,8,18,-12,-23
"34TDN4",14,8,14,12,-4,0
"34TDP1",19,8,18,10,-2,-1
"34TDP2",12,9,17,7,2,5
"34TDP3",20,10,28,11,-1,8
"34TDP4",52,9,26,18,-9,-26
"34TDQ1",174,21,246,24,-3,72
"34TDQ2",48,8,14,20,-12,-34
"34TDQ3",190,17,151,25,-8,-39
"34TDQ4",46,9,21,21,-12,-25
"34TDR1",110,7,25,18,-11,-85
"34TDR2",130,17,79,24,-7,-51
"34TDR3",33,2,2,7,-5,-31
"34TDR4",67,7,9,12,-5,-58
"34TDS1",4,8,22,3,5,18
"34TDS2",43,10,185,16,-6,142
"34TDS3",NA,7,15,NA,NA,NA
"34TDS4",NA,8,218,NA,NA,NA
"34TDT1",32,13,17,6,7,-15
"34TDT2",1,12,47,1,11,46
"34TDT3",27,15,355,7,8,328
"34TDT4",1,9,327,1,8,326
"34TEK1",10,6,14,3,3,4
"34TEK3",6,13,38,3,10,32
"34TEL1",18,2,3,12,-10,-15
"34TEL2",42,21,381,25,-4,339
"34TEL3",21,3,3,15,-12,-18
"34TEL4",8,7,15,8,-1,7
"34TEM1",41,8,20,20,-12,-21
"34TEM2",25,6,13,16,-10,-12
"34TEM3",28,2,2,12,-10,-26
"34TEM4",77,NA,NA,17,NA,NA
"34TEN1",36,2,2,14,-12,-34
"34TEN2",15,11,35,10,1,20
"34TEN3",28,6,7,13,-7,-21
"34TEN4",27,5,5,15,-10,-22
"34TEP1",14,13,553,10,3,539
"34TEP2",14,14,24,12,2,10
"34TEP3",49,5,7,21,-16,-42
"34TEP4",15,6,8,6,0,-7
"34TEQ1",107,10,29,24,-14,-78
"34TEQ2",26,4,7,10,-6,-19
"34TEQ3",NA,7,8,NA,NA,NA
"34TEQ4",57,6,10,19,-13,-47
"34TER1",NA,7,13,NA,NA,NA
"34TER2",22,2,2,15,-13,-20
"34TER3",NA,2,2,NA,NA,NA
"34TER4",NA,12,20,NA,NA,NA
"34TES1",1,4,12,1,3,11
"34TES2",NA,3,108,NA,NA,NA
"34TES3",11,3,9,4,-1,-2
"34TES4",1,1,1,1,0,0
"34TET1",9,21,231,6,15,222
"34TET2",1,11,56,1,10,55
"34TET3",1,9,32,1,8,31
"34TET4",28,4,29,8,-4,1
"34TFK1",1,9,18,1,8,17
"34TFK3",3,14,62,1,13,59
"34TFL1",90,9,11,27,-18,-79
"34TFL2",NA,4,9,NA,NA,NA
"34TFL3",110,21,102,22,-1,-8
"34TFL4",3,17,50,3,14,47
"34TFM1",32,3,5,17,-14,-27
"34TFM2",57,2,2,20,-18,-55
"34TFM3",91,11,31,22,-11,-60
"34TFM4",78,10,23,27,-17,-55
"34TFN1",64,NA,NA,21,NA,NA
"34TFN2",49,6,7,20,-14,-42
"34TFN3",102,10,16,24,-14,-86
"34TFN4",170,18,167,26,-8,-3
"34TFP1",33,1,2,16,-15,-31
"34TFP2",46,6,7,21,-15,-39
"34TFP3",6,4,5,3,1,-1
"34TFP4",33,3,4,16,-13,-29
"34TFQ1",3,4,7,3,1,4
"34TFQ2",14,9,19,12,-3,5
"34TFQ3",3,2,4,3,-1,1
"34TFQ4",NA,1,1,NA,NA,NA
"34TFR1",NA,7,15,NA,NA,NA
"34TFR2",1,11,98,1,10,97
"34TFR3",NA,2,8,NA,NA,NA
"34TFR4",NA,7,42,NA,NA,NA
"34TFS1",96,15,42,14,1,-54
"34TFS2",NA,2,5,NA,NA,NA
"34TFS3",NA,14,90,NA,NA,NA
"34TFS4",NA,9,19,NA,NA,NA
"34TFT1",NA,2,4,NA,NA,NA
"34TFT2",26,6,10,5,1,-16
"34TFT3",NA,6,8,NA,NA,NA
"34TFT4",NA,6,8,NA,NA,NA
"34TGK1",4,8,12,2,6,8
"34TGL1",81,11,29,17,-6,-52
"34TGL2",8,4,7,6,-2,-1
"34TGM1",78,12,32,24,-12,-46
"34TGM2",96,7,22,24,-17,-74
"34TGN1",61,12,29,20,-8,-32
"34TGN2",84,11,21,22,-11,-63
"34TGP2",9,1,2,9,-8,-7
"34TGQ2",4,4,4,3,1,0
"34TGR1",1,3,7,1,2,6
"34TGR2",NA,3,5,NA,NA,NA
"34TGS1",NA,9,51,NA,NA,NA
"34TGS2",NA,7,20,NA,NA,NA
"34TGT1",NA,8,15,NA,NA,NA
"34TGT2",NA,22,50,NA,NA,NA
"34UCA1",104,27,135,35,-8,31
"34UCA2",31,26,161,15,11,130
"34UCA3",351,25,221,37,-12,-130
"34UCA4",107,31,186,25,6,79
"34UCB1",65,11,26,28,-17,-39
"34UCB2",1109,20,72,26,-6,-1037
"34UCB3",73,16,32,28,-12,-41
"34UCB4",3688,21,78,32,-11,-3610
"34UCC1",44,13,44,17,-4,0
"34UCC2",57,9,17,19,-10,-40
"34UCC3",45,9,24,17,-8,-21
"34UCC4",87,17,179,28,-11,92
"34UCD1",302,23,103,34,-11,-199
"34UCD2",65,17,36,15,2,-29
"34UCD3",63,10,25,21,-11,-38
"34UCD4",30,17,68,9,8,38
"34UCE1",55,20,70,15,5,15
"34UCE2",560,13,30,22,-9,-530
"34UCE3",112,19,64,27,-8,-48
"34UCE4",185,19,45,22,-3,-140
"34UCF1",371,30,101,21,9,-270
"34UCF2",69,42,417,22,20,348
"34UCF4",7,28,149,5,23,142
"34UCU1",1,15,18,1,14,17
"34UCU2",20,28,112,8,20,92
"34UCU3",1,19,81,1,18,80
"34UCU4",76,22,72,11,11,-4
"34UCV1",4,26,125,2,24,121
"34UCV2",NA,29,128,NA,NA,NA
"34UCV3",61,20,86,26,-6,25
"34UCV4",1,46,1195,1,45,1194
"34UDA1",379,25,102,22,3,-277
"34UDA2",1433,39,335,34,5,-1098
"34UDA3",4,20,66,4,16,62
"34UDA4",27,23,130,14,9,103
"34UDB1",36,7,27,22,-15,-9
"34UDB2",32,13,34,18,-5,2
"34UDB3",20,30,98,10,20,78
"34UDB4",953,23,64,31,-8,-889
"34UDC1",24,25,232,11,14,208
"34UDC2",103,18,121,25,-7,18
"34UDC3",1290,35,533,28,7,-757
"34UDC4",57,25,137,21,4,80
"34UDD1",42,5,6,20,-15,-36
"34UDD2",29,11,19,11,0,-10
"34UDD3",14,7,10,8,-1,-4
"34UDD4",202,18,73,26,-8,-129
"34UDE1",99,18,43,17,1,-56
"34UDE2",622,14,57,28,-14,-565
"34UDE3",53,25,723,13,12,670
"34UDE4",724,14,69,13,1,-655
"34UDF1",NA,12,31,NA,NA,NA
"34UDF2",7,17,106,7,10,99
"34UDF3",NA,26,162,NA,NA,NA
"34UDF4",5,23,442,4,19,437
"34UDG4",2,13,99,1,12,97
"34UDU1",NA,21,74,NA,NA,NA
"34UDU2",1,12,40,1,11,39
"34UDU3",3,32,109,3,29,106
"34UDU4",40,35,313,17,18,273
"34UDV1",157,32,347,34,-2,190
"34UDV2",271,27,338,13,14,67
"34UDV3",2764,27,110,35,-8,-2654
"34UDV4",2,14,57,1,13,55
"34UEA1",23,12,39,11,1,16
"34UEA2",12,23,56,8,15,44
"34UEA3",27,25,81,8,17,54
"34UEA4",270,33,128,24,9,-142
"34UEB1",2,15,40,2,13,38
"34UEB2",812,21,54,26,-5,-758
"34UEB3",61,18,44,20,-2,-17
"34UEB4",565,29,73,19,10,-492
"34UEC1",1228,34,683,28,6,-545
"34UEC2",75,40,92,22,18,17
"34UEC3",72,14,28,21,-7,-44
"34UEC4",1471,16,30,27,-11,-1441
"34UED1",10,6,10,9,-3,0
"34UED2",55,25,258,20,5,203
"34UED3",1109,27,188,19,8,-921
"34UED4",60,23,82,17,6,22
"34UEE1",601,16,115,27,-11,-486
"34UEE2",44,19,115,14,5,71
"34UEE3",339,15,53,22,-7,-286
"34UEE4",32,21,97,9,12,65
"34UEF1",NA,2,3,NA,NA,NA
"34UEF2",43,12,31,16,-4,-12
"34UEF3",NA,5,7,NA,NA,NA
"34UEF4",23,11,30,9,2,7
"34UEG1",3,14,204,1,13,201
"34UEG2",27,22,251,7,15,224
"34UEG3",NA,7,17,NA,NA,NA
"34UEG4",NA,21,108,NA,NA,NA
"34UEU1",11,11,23,2,9,12
"34UEU2",NA,19,47,NA,NA,NA
"34UEU3",26,18,59,16,2,33
"34UEU4",NA,3,3,NA,NA,NA
"34UEV1",53,20,57,24,-4,4
"34UEV2",NA,15,22,NA,NA,NA
"34UEV3",813,25,168,27,-2,-645
"34UEV4",4,10,17,4,6,13
"34UFA1",31,15,61,21,-6,30
"34UFA2",44,17,59,23,-6,15
"34UFA3",85,11,22,26,-15,-63
"34UFA4",165,42,877,36,6,712
"34UFB1",2046,24,77,28,-4,-1969
"34UFB2",142,23,82,33,-10,-60
"34UFB3",77,23,163,22,1,86
"34UFB4",1471,19,65,22,-3,-1406
"34UFC1",55,20,57,12,8,2
"34UFC2",77,16,41,21,-5,-36
"34UFC3",4,22,75,4,18,71
"34UFC4",89,27,317,34,-7,228
"34UFD1",5599,22,103,22,0,-5496
"34UFD2",28,19,91,14,5,63
"34UFD3",1007,23,549,40,-17,-458
"34UFD4",72888,30,1429,67,-37,-71459
"34UFE1",1287,28,99,25,3,-1188
"34UFE2",12612,39,1041,37,2,-11571
"34UFE3",6985,24,57,32,-8,-6928
"34UFE4",3450,13,34,23,-10,-3416
"34UFF1",NA,9,25,NA,NA,NA
"34UFF2",937,22,58,25,-3,-879
"34UFF3",7,29,209,2,27,202
"34UFF4",176,26,120,13,13,-56
"34UFG1",NA,13,34,NA,NA,NA
"34UFG2",NA,14,76,NA,NA,NA
"34UFG3",NA,10,15,NA,NA,NA
"34UFG4",NA,8,29,NA,NA,NA
"34UFU1",110,15,28,29,-14,-82
"34UFU2",117,6,7,29,-23,-110
"34UFU4",45,28,70,24,4,25
"34UFV1",327,23,226,33,-10,-101
"34UFV2",138,42,356,33,9,218
"34UGU2",128,22,158,24,-2,30
"34VCL3",103,38,2856,21,17,2753
"34VCM3",111,34,1577,23,11,1466
"34VCM4",379,40,5947,30,10,5568
"34VCQ3",76,26,400,17,9,324
"34VCR3",7,23,3178,7,16,3171
"34VCR4",47,28,918,12,16,871
"34VDH3",NA,2,2,NA,NA,NA
"34VDH4",NA,4,4,NA,NA,NA
"34VDR1",53,37,2017,16,21,1964
"34VDR2",15,26,674,10,16,659
"34VDR3",956,37,7098,21,16,6142
"34VEH1",NA,7,8,NA,NA,NA
"34VEH2",3,17,80,3,14,77
"34VEH3",NA,1,1,NA,NA,NA
"34VEH4",4,10,19,1,9,15
"34VEJ2",NA,4,5,NA,NA,NA
"34VEJ3",NA,5,6,NA,NA,NA
"34VEJ4",NA,3,4,NA,NA,NA
"34VEK4",190,18,122,22,-4,-68
"34VEM3",153,35,3866,17,18,3713
"34VEN1",624,31,2516,25,6,1892
"34VEN2",63,28,1257,9,19,1194
"34VEN3",273,24,982,21,3,709
"34VEN4",530,36,4710,23,13,4180
"34VEP1",65,21,296,13,8,231
"34VEP2",214,28,1248,22,6,1034
"34VEP3",118,22,234,10,12,116
"34VEP4",301,26,399,27,-1,98
"34VEQ1",69,22,1728,11,11,1659
"34VEQ2",53,27,543,14,13,490
"34VEQ3",796,21,855,22,-1,59
"34VEQ4",56,21,344,11,10,288
"34VER2",66,25,1271,13,12,1205
"34VER3",44,13,222,6,7,178
"34VER4",44,22,231,11,11,187
"34VFH1",NA,2,3,NA,NA,NA
"34VFH2",NA,13,34,NA,NA,NA
"34VFH3",NA,1,1,NA,NA,NA
"34VFH4",NA,4,5,NA,NA,NA
"34VFJ1",NA,2,3,NA,NA,NA
"34VFJ2",NA,6,7,NA,NA,NA
"34VFJ4",NA,5,5,NA,NA,NA
"34VFK1",345,28,2363,30,-2,2018
"34VFK3",428,37,3809,31,6,3381
"34VFK4",24,21,90,9,12,66
"34VFL1",59,22,200,26,-4,141
"34VFL2",575,35,2016,30,5,1441
"34VFL3",695,36,1350,32,4,655
"34VFL4",1044,41,3898,35,6,2854
"34VFM1",1720,37,2052,34,3,332
"34VFM2",2052,21,954,32,-11,-1098
"34VFN1",473,37,1561,32,5,1088
"34VFN2",868,33,2015,30,3,1147
"34VFP1",415,29,699,20,9,284
"34VFP2",756,30,4991,28,2,4235
"34VFQ1",94,20,509,16,4,415
"34VFQ2",286,23,484,23,0,198
"34VFR1",95,23,457,22,1,362
"34VFR2",291,15,154,20,-5,-137
"34VXH2",14,23,319,10,13,305
"34WCS3",14,23,237,5,18,223
"34WCS4",4,14,225,2,12,221
"34WCT3",6,14,483,3,11,477
"34WCT4",2,11,92,2,9,90
"34WCU3",34,8,23,7,1,-11
"34WCU4",13,8,42,2,6,29
"34WCV4",100,12,38,6,6,-62
"34WDA1",1344,20,423,20,0,-921
"34WDA2",52,15,122,11,4,70
"34WDA3",67,12,32,8,4,-35
"34WDA4",318,20,2227,23,-3,1909
"34WDB1",332,26,1168,23,3,836
"34WDB2",204,23,277,19,4,73
"34WDB3",430,20,484,20,0,54
"34WDB4",39,7,19,9,-2,-20
"34WDC2",688,25,3079,20,5,2391
"34WDC3",81,10,124,12,-2,43
"34WDC4",117,20,488,11,9,371
"34WDS1",27,21,274,5,16,247
"34WDS2",17,23,446,10,13,429
"34WDS3",29,27,578,15,12,549
"34WDS4",11,27,3390,5,22,3379
"34WDT1",51,16,215,15,1,164
"34WDT2",34,18,2508,13,5,2474
"34WDT3",55,17,1285,12,5,1230
"34WDT4",9,18,280,5,13,271
"34WDU1",45,19,256,18,1,211
"34WDU2",10,12,64,3,9,54
"34WDU3",31,19,750,9,10,719
"34WDU4",43,18,248,12,6,205
"34WDV1",158,12,54,15,-3,-104
"34WDV2",42,16,104,10,6,62
"34WDV3",206,19,406,19,0,200
"34WDV4",226,16,561,18,-2,335
"34WEA1",109,11,50,11,0,-59
"34WEA2",568,11,231,21,-10,-337
"34WEA3",130,9,33,14,-5,-97
"34WEA4",27,8,23,5,3,-4
"34WEB1",21,8,45,5,3,24
"34WEB2",28,8,17,3,5,-11
"34WEB3",130,9,75,13,-4,-55
"34WEB4",15607,9,81,19,-10,-15526
"34WEC1",93,19,211,9,10,118
"34WEC2",75,17,323,13,4,248
"34WEC3",409,21,1623,19,2,1214
"34WEC4",170,15,67,17,-2,-103
"34WED2",34,4,15,6,-2,-19
"34WED4",121,9,73,11,-2,-48
"34WES1",9,18,507,6,12,498
"34WES2",422,25,502,9,16,80
"34WET1",61,25,3738,15,10,3677
"34WET2",11,16,783,6,10,772
"34WET3",22,29,2971,13,16,2949
"34WEU1",180,16,252,3,13,72
"34WEU2",54,27,2322,6,21,2268
"34WEU3",24,16,1554,5,11,1530
"34WEU4",108,23,1310,10,13,1202
"34WEV1",93,14,246,2,12,153
"34WEV2",22,15,264,4,11,242
"34WEV3",10,14,92,2,12,82
"34WEV4",10,10,63,4,6,53
"34WFA1",198,11,84,15,-4,-114
"34WFA2",257,13,187,20,-7,-70
"34WFB2",10,4,11,3,1,1
"34WFS2",25,16,243,11,5,218
"34WFU1",329,18,801,14,4,472
"34WFU2",29,23,748,6,17,719
"34WFV1",531,15,120,15,0,-411
"34WFV2",133,14,233,6,8,100
"35SKB3",1,4,5,1,3,4
"35SKC4",1,8,17,1,7,16
"35SKE4",NA,1,1,NA,NA,NA
"35TKE3",2,2,2,1,1,0
"35TKF3",NA,16,44,NA,NA,NA
"35TKF4",NA,7,15,NA,NA,NA
"35TKG3",93,8,23,26,-18,-70
"35TKG4",109,14,29,24,-10,-80
"35TKH3",49,7,10,22,-15,-39
"35TKH4",71,7,8,19,-12,-63
"35TKJ3",NA,1,1,NA,NA,NA
"35TKJ4",4,NA,NA,3,NA,NA
"35TKK3",1,3,3,1,2,2
"35TKK4",NA,1,1,NA,NA,NA
"35TKL3",NA,7,13,NA,NA,NA
"35TKL4",NA,4,17,NA,NA,NA
"35TLF1",16,9,20,11,-2,4
"35TLF2",3,10,37,2,8,34
"35TLF3",28,5,12,15,-10,-16
"35TLF4",2,13,32,2,11,30
"35TLG1",187,13,31,24,-11,-156
"35TLG2",153,8,27,25,-17,-126
"35TLG3",22,21,132,16,5,110
"35TLG4",29,16,91,12,4,62
"35TLH1",33,17,107,14,3,74
"35TLH2",138,21,138,23,-2,0
"35TLH3",25,11,23,15,-4,-2
"35TLH4",94,20,88,22,-2,-6
"35TLJ2",5,7,21,3,4,16
"35TLJ3",1,1,1,1,0,0
"35TLJ4",7,8,13,6,2,6
"35TLK1",NA,10,27,NA,NA,NA
"35TLK3",4,2,2,3,-1,-2
"35TLK4",1,3,5,1,2,4
"35TLL1",1,15,95,1,14,94
"35TLL2",NA,13,199,NA,NA,NA
"35TLL3",1,14,188,1,13,187
"35TLL4",2,24,244,2,22,242
"35TLM1",1,8,55,1,7,54
"35TLM2",NA,8,37,NA,NA,NA
"35TLM3",7,17,40,3,14,33
"35TLM4",NA,33,114,NA,NA,NA
"35TLN1",NA,36,625,NA,NA,NA
"35TLN2",92,2,2,15,-13,-90
"35TLN3",4,19,331,3,16,327
"35TLN4",2,11,37,2,9,35
"35TMF1",38,10,36,15,-5,-2
"35TMF2",NA,12,60,NA,NA,NA
"35TMF3",NA,1,1,NA,NA,NA
"35TMG1",10,11,156,7,4,146
"35TMG2",51,21,74,16,5,23
"35TMG3",62,11,42,29,-18,-20
"35TMG4",2,4,9,2,2,7
"35TMH1",48,5,5,21,-16,-43
"35TMH2",45,11,110,16,-5,65
"35TMH3",50,5,9,18,-13,-41
"35TMH4",79,6,49,25,-19,-30
"35TMJ1",12,11,16,9,2,4
"35TMJ2",58,9,30,18,-9,-28
"35TMJ3",2,5,14,2,3,12
"35TMJ4",53,3,16,21,-18,-37
"35TMK1",NA,6,7,NA,NA,NA
"35TMK2",11,11,83,5,6,72
"35TMK3",NA,3,4,NA,NA,NA
