"cell50x50","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","delta_SR","delta_occ_m"
"30UVU2",586,54,4489,34,20,3903
"30UVU3",1027,55,15104,33,22,14077
"30UVU4",563,49,11600,39,10,11037
"30UVV4",104,27,388,21,6,284
"30UWA1",41,6,36,11,-5,-5
"30UWB1",6354,42,12428,41,1,6074
"30UWB2",2450,41,7588,38,3,5138
"30UWB3",2635,43,11545,40,3,8910
"30UWB4",3432,44,7422,41,3,3990
"30UWC1",1999,40,7548,40,0,5549
"30UWC2",9197,43,23267,40,3,14070
"30UWC3",1976,40,8736,39,1,6760
"30UWC4",4654,40,11148,40,0,6494
"30UWD1",4713,38,16380,36,2,11667
"30UWD2",3146,40,8596,40,0,5450
"30UWD3",9599,41,11818,39,2,2219
"30UWD4",1863,39,14526,37,2,12663
"30UWE1",1893,35,8720,33,2,6827
"30UWE2",13626,37,19839,40,-3,6213
"30UWE3",1288,34,7071,37,-3,5783
"30UWE4",6655,37,13212,38,-1,6557
"30UWF1",1056,32,4058,34,-2,3002
"30UWF2",1766,34,6490,33,1,4724
"30UWF3",1362,40,25509,34,6,24147
"30UWF4",915,31,4394,32,-1,3479
"30UWG1",2125,31,65148,29,2,63023
"30UWG2",842,30,14343,26,4,13501
"30UWG4",862,29,3718,30,-1,2856
"30UWU1",775,47,10457,38,9,9682
"30UWU2",553,48,35742,27,21,35189
"30UWU3",407,45,2684,34,11,2277
"30UWU4",462,49,13660,40,9,13198
"30UWV2",NA,4,22,NA,NA,NA
"30UWV3",519,45,870,44,1,351
"30UXB1",1641,39,29396,35,4,27755
"30UXB2",6850,40,15435,39,1,8585
"30UXB3",2483,46,25911,40,6,23428
"30UXB4",1152,44,13508,40,4,12356
"30UXC1",2337,38,4867,34,4,2530
"30UXC2",1666,44,12495,39,5,10829
"30UXC3",2357,37,11633,38,-1,9276
"30UXC4",2280,40,21453,42,-2,19173
"30UXD1",3002,40,18966,34,6,15964
"30UXD2",3068,39,23921,38,1,20853
"30UXD3",445,30,2905,29,1,2460
"30UXD4",3433,36,11015,39,-3,7582
"30UXE1",1859,33,7937,34,-1,6078
"30UXE2",10356,36,8716,37,-1,-1640
"30UXE3",910,25,5274,31,-6,4364
"30UXE4",737,31,2546,31,0,1809
"30UXF2",1689,33,7283,36,-3,5594
"30UXU1",742,43,1935,36,7,1193
"30UXU2",386,48,4611,35,13,4225
"30UXU3",663,48,55101,39,9,54438
"30UXU4",1026,54,42882,48,6,41856
"30UXV1",701,44,7613,37,7,6912
"30UXV2",1087,45,18218,44,1,17131
"30UXV3",410,40,1267,32,8,857
"30UXV4",826,47,22306,45,2,21480
"30UYU1",1035,50,9786,47,3,8751
"30UYU2",1018,48,2568,45,3,1550
"30VUH1",611,34,3902,29,5,3291
"30VUH2",508,29,1943,28,1,1435
"30VUH3",1307,29,1987,29,0,680
"30VUH4",1770,29,2952,30,-1,1182
"30VUJ1",1662,22,961,27,-5,-701
"30VUJ2",1418,21,584,24,-3,-834
"30VUJ3",965,26,523,27,-1,-442
"30VUJ4",1009,26,938,26,0,-71
"30VUK3",2197,20,257,26,-6,-1940
"30VUK4",1789,22,449,26,-4,-1340
"30VUL4",10,NA,NA,4,NA,NA
"30VVH1",2805,27,8628,30,-3,5823
"30VVH2",1734,32,18959,31,1,17225
"30VVH3",5849,33,42814,32,1,36965
"30VVH4",6464,35,51152,34,1,44688
"30VVJ1",3265,31,5974,30,1,2709
"30VVJ2",1565,32,3407,28,4,1842
"30VVJ3",2407,30,6857,29,1,4450
"30VVJ4",4997,31,7741,32,-1,2744
"30VVK1",763,20,185,23,-3,-578
"30VVK2",1286,29,1098,30,-1,-188
"30VVK3",766,20,329,28,-8,-437
"30VVK4",204,15,76,22,-7,-128
"30VVL4",344,15,625,17,-2,281
"30VWH1",2167,33,10354,31,2,8187
"30VWH2",2831,33,20241,30,3,17410
"30VWJ1",1885,40,8476,29,11,6591
"30VWJ2",3540,33,20047,34,-1,16507
"30VWJ3",1461,25,1537,25,0,76
"31SBC3",6,18,1055,5,13,1049
"31SBD4",26,20,255,9,11,229
"31SBE4",43,23,1190,14,9,1147
"31TBE3",91,35,6777,24,11,6686
"31TBF3",6,28,11388,2,26,11382
"31TBF4",82,40,9799,17,23,9717
"31TBG3",1353,23,9133,18,5,7780
"31TBG4",257,22,8462,7,15,8205
"31TBH3",1122,68,3845,46,22,2723
"31TBH4",1704,57,11258,42,15,9554
"31TBJ3",364,54,1556,42,12,1192
"31TBJ4",778,48,2462,39,9,1684
"31TBK3",490,49,2253,51,-2,1763
"31TBK4",462,54,11980,49,5,11518
"31TBL3",445,59,19758,44,15,19313
"31TBL4",611,54,2966,38,16,2355
"31TCF1",13,32,8240,8,24,8227
"31TCF2",29,23,2497,10,13,2468
"31TCF3",77,34,6826,25,9,6749
"31TCG1",43,41,10767,11,30,10724
"31TCG2",53,32,7190,19,13,7137
"31TCG3",258,52,12967,22,30,12709
"31TCG4",60,38,9420,26,12,9360
"31TCH1",1787,64,18557,54,10,16770
"31TCH2",572,59,31739,36,23,31167
"31TCH3",971,70,31456,53,17,30485
"31TCH4",1049,62,4670,56,6,3621
"31TCJ1",692,51,4116,49,2,3424
"31TCJ2",703,53,3899,33,20,3196
"31TCJ3",862,63,4457,57,6,3595
"31TCJ4",1067,70,10974,51,19,9907
"31TCK1",1273,59,4085,52,7,2812
"31TCK2",372,57,2541,39,18,2169
"31TCK3",929,63,4941,59,4,4012
"31TCK4",680,61,9406,47,14,8726
"31TCL1",1001,61,7039,42,19,6038
"31TCL2",2301,54,4068,56,-2,1767
"31TCL3",790,65,11236,48,17,10446
"31TCL4",914,60,8708,50,10,7794
"31TCM1",1558,61,27661,56,5,26103
"31TCM2",911,61,151888,40,21,150977
"31TCM3",1425,60,45426,58,2,44001
"31TCM4",460,65,43966,48,17,43506
"31TCN1",1214,58,16279,49,9,15065
"31TCN2",975,60,7172,46,14,6197
"31TCN3",1070,57,3809,52,5,2739
"31TCN4",963,56,4932,47,9,3969
"31TDF1",174,33,4099,27,6,3925
"31TDF3",2,8,53,2,6,51
"31TDG1",193,58,13433,50,8,13240
"31TDG2",322,45,10378,28,17,10056
"31TDG3",158,56,10135,35,21,9977
"31TDG4",44,41,8212,21,20,8168
"31TDH1",880,64,6212,55,9,5332
"31TDH2",7333,70,13640,71,-1,6307
"31TDH3",4750,65,103408,59,6,98658
"31TDH4",2488,64,36935,58,6,34447
"31TDJ1",1194,59,4117,55,4,2923
"31TDJ2",1342,60,48917,55,5,47575
"31TDJ3",460,57,11986,40,17,11526
"31TDJ4",4959,64,68793,65,-1,63834
"31TDK1",1140,62,10021,53,9,8881
"31TDK2",549,57,4297,50,7,3748
"31TDK3",1198,65,19623,52,13,18425
"31TDK4",419,63,14464,44,19,14045
"31TDL1",692,60,5891,44,16,5199
"31TDL2",859,66,7269,51,15,6410
"31TDL3",859,63,22391,49,14,21532
"31TDL4",1035,63,11822,53,10,10787
"31TDM1",1019,53,65033,54,-1,64014
"31TDM2",514,61,4230,43,18,3716
"31TDM3",2143,54,28418,54,0,26275
"31TDM4",589,55,4248,49,6,3659
"31TDN1",1059,54,2052,52,2,993
"31TDN2",960,63,20565,53,10,19605
"31TDN3",1527,50,5768,50,0,4241
"31TDN4",1765,55,6040,53,2,4275
"31TEG1",444,44,4401,33,11,3957
"31TEG2",2,19,1126,2,17,1124
"31TEH1",1125,53,3387,40,13,2262
"31TEH2",819,45,1027,48,-3,208
"31TEJ1",5371,68,26200,61,7,20829
"31TEJ2",1146,59,5713,54,5,4567
"31TEJ3",2168,60,7985,54,6,5817
"31TEJ4",1612,62,12629,48,14,11017
"31TEK1",623,59,4964,48,11,4341
"31TEK2",4258,64,23115,59,5,18857
"31TEK3",1106,65,17483,49,16,16377
"31TEK4",3212,68,23445,65,3,20233
"31TEL1",2511,63,24322,52,11,21811
"31TEL2",1562,64,10615,55,9,9053
"31TEL3",1198,64,5661,50,14,4463
"31TEL4",597,53,3855,41,12,3258
"31TEM1",5651,57,5571,61,-4,-80
"31TEM2",1648,53,5488,58,-5,3840
"31TEM3",4664,50,11154,56,-6,6490
"31TEM4",2782,52,21087,50,2,18305
"31TEN1",5654,55,7664,57,-2,2010
"31TEN2",10286,55,5067,56,-1,-5219
"31TEN3",4789,50,9106,57,-7,4317
"31TEN4",7098,57,6861,61,-4,-237
"31TFH1",NA,1,1,NA,NA,NA
"31TFJ1",3696,58,9598,57,1,5902
"31TFJ2",5873,53,11266,54,-1,5393
"31TFJ3",3404,55,8885,60,-5,5481
"31TFJ4",3586,61,11684,55,6,8098
"31TFK1",2499,67,11252,56,11,8753
"31TFK2",2447,65,11667,58,7,9220
"31TFK3",2050,74,5926,64,10,3876
"31TFK4",2210,62,3006,56,6,796
"31TFL1",1559,66,5426,57,9,3867
"31TFL2",1753,64,4718,55,9,2965
"31TFL3",4976,70,9921,65,5,4945
"31TFL4",1285,66,94253,51,15,92968
"31TFM1",6060,57,4954,60,-3,-1106
"31TFM2",4557,56,2551,61,-5,-2006
"31TFM3",5092,66,9610,60,6,4518
"31TFM4",1682,63,4086,59,4,2404
"31TFN1",6952,64,39737,58,6,32785
"31TFN2",9202,61,16943,61,0,7741
"31TFN3",4140,61,20407,56,5,16267
"31TFN4",8406,58,7265,58,0,-1141
"31TGH1",1669,47,24166,46,1,22497
"31TGJ1",1582,57,5008,56,1,3426
"31TGJ2",2418,63,44301,52,11,41883
"31TGK1",5167,70,6767,66,4,1600
"31TGK2",1379,65,5752,59,6,4373
"31TGL1",2362,74,8547,53,21,6185
"31TGL2",1523,70,7740,50,20,6217
"31TGM1",6610,73,23152,70,3,16542
"31TGM2",13397,77,46095,73,4,32698
"31TGN1",4044,63,9167,54,9,5123
"31TGN2",3234,64,15710,66,-2,12476
"31UCP1",963,51,12817,45,6,11854
"31UCP2",1068,48,2370,49,-1,1302
"31UCP3",373,49,89959,31,18,89586
"31UCP4",1090,52,13541,46,6,12451
"31UCQ1",3137,47,4397,51,-4,1260
"31UCQ2",1848,40,685,46,-6,-1163
"31UCQ3",2846,40,1633,47,-7,-1213
"31UCQ4",1463,47,2630,44,3,1167
"31UCR2",936,34,1585,36,-2,649
"31UCR4",2816,60,56081,47,13,53265
"31UCS1",3043,41,22193,43,-2,19150
"31UCS2",726,38,9605,34,4,8879
"31UCS3",1049,36,9204,35,1,8155
"31UCS4",90,29,369,24,5,279
"31UCT1",4778,36,15623,39,-3,10845
"31UCT2",2162,38,10575,38,0,8413
"31UCT3",13002,36,11078,39,-3,-1924
"31UCT4",628,35,1809,28,7,1181
"31UCU1",2836,30,2297,32,-2,-539
"31UCU2",7914,35,7878,36,-1,-36
"31UCU3",4917,30,2886,36,-6,-2031
"31UCU4",9782,34,10490,38,-4,708
"31UCV2",277,21,423,24,-3,146
"31UDP1",1576,55,32492,47,8,30916
"31UDP2",501,50,19671,29,21,19170
"31UDP3",2380,60,23006,51,9,20626
"31UDP4",776,53,3750,35,18,2974
"31UDQ1",1404,55,33818,45,10,32414
"31UDQ2",2742,59,25421,55,4,22679
"31UDQ3",2276,62,40408,44,18,38132
"31UDQ4",1977,64,21024,51,13,19047
"31UDR1",2064,53,72283,50,3,70219
"31UDR2",2180,55,107471,50,5,105291
"31UDR3",797,49,14055,45,4,13258
"31UDR4",1404,56,56575,44,12,55171
"31UDS2",1506,56,35261,48,8,33755
"31UDS3",949,28,2809,30,-2,1860
"31UDS4",964,45,8238,46,-1,7274
