cell50x50,occ_ebba1,SR_ebba1,occ_ebba2,SR_ebba2,deltaSR_birds,occ_m_b2000,SR_m_b2000,occ_m_a2015,SR_m_a2015,deltaSR_mammals,delta_occ_m,deltaT,ccv,log_ccv
30STH4,NA,NA,NA,NA,NA,NA,19,9072,NA,NA,NA,0.453910440047157,12.4896632722349,2.08417011088017
30STJ3,135,135,155,155,20,41,25,6573,11,14,6532,0.430579904924359,5.81944860738814,1.55295790105269
30STJ4,144,144,150,150,6,NA,14,2838,NA,NA,NA,0.450939294230731,23.7981373355019,2.85747186557637
30STK4,152,152,177,177,25,22,23,5682,11,12,5660,0.437665776772933,12.143070704248,1.69829530356997
30SUF1,127,127,141,141,14,1,24,7528,1,23,7527,0.56298709225345,5.02273571005114,1.41455357939255
30SUF2,99,99,106,106,7,NA,18,1691,NA,NA,NA,0.559806963292564,2.27407984561473,0.733217889985121
30SUF3,140,140,158,158,18,14,25,6579,1,24,6565,0.588611165682475,4.32753159521311,1.24160954050881
30SUF4,NA,NA,NA,NA,NA,NA,9,175,NA,NA,NA,0.580416488647461,2.24683179376317,0.809521132262851
30SUG1,NA,NA,NA,NA,NA,3,23,4937,2,21,4934,0.474547054456628,17.1011656341138,2.48069168332909
30SUG2,NA,NA,NA,NA,NA,NA,21,4387,NA,NA,NA,0.516561727729633,13.3829460067553,2.29247366689083
30SUG3,124,124,107,107,-17,NA,21,3932,NA,NA,NA,0.513786277514976,13.4423622858416,2.24911266277075
30SUG4,134,134,144,144,10,2,25,5727,2,23,5725,0.565659049289678,8.28348492279697,1.81924627316759
30SUH1,NA,NA,NA,NA,NA,16,16,7230,11,5,7214,0.459780897412981,11.2567820263921,2.29707232972782
30SUH2,104,104,113,113,9,NA,18,8070,NA,NA,NA,0.464136965863116,8.21083602310438,1.85541949459244
30SUH3,NA,NA,NA,NA,NA,49,17,11546,18,-1,11497,0.483132197939116,8.50133619969574,1.86778172185034
30SUH4,NA,NA,NA,NA,NA,1,21,7654,1,20,7653,0.505143619405812,8.91488177512714,1.83458224489633
30SUJ1,123,123,138,138,15,119,14,9617,18,-4,9498,0.462097206115723,5.67396902573271,1.55842002530091
30SUJ2,136,136,124,124,-12,35,14,7258,14,0,7223,0.463017303671613,12.2542687635842,2.17665349288296
30SUJ3,NA,NA,NA,NA,NA,40,19,12313,11,8,12273,0.489759228446267,5.03266391700182,1.44975186093222
30SUJ4,NA,NA,NA,NA,NA,56,17,11791,9,8,11735,0.480296857995925,12.4817918763712,2.19117225041376
30SUK2,154,154,155,155,1,99,17,11125,18,-1,11026,0.489887144830492,13.7487819309072,2.32485453539471
30SUK4,137,137,154,154,17,112,18,9257,11,7,9145,0.49116285486159,21.3571138825272,2.45570713017609
30SVF1,131,131,143,143,12,2,19,6035,2,17,6033,0.593257600610906,2.86221128779591,0.849850402141363
30SVF3,125,125,138,138,13,457,23,6406,10,13,5949,0.570416645776658,1.98061702722051,0.331981909340396
30SVG1,105,105,113,113,8,NA,19,7373,NA,NA,NA,0.566870682723039,6.27570149429003,1.4782689618171
30SVG2,124,124,138,138,14,29,21,6449,8,13,6420,0.590509348445468,4.52558357617947,1.36250161635968
30SVG3,128,128,129,129,1,25,17,8250,9,8,8225,0.591571987449349,5.41577226501935,1.38229091866244
30SVG4,122,122,123,123,1,674,18,8673,13,5,7999,0.578050089817421,2.87162346182937,0.7806481915969
30SVH1,NA,NA,NA,NA,NA,20,22,10990,8,14,10970,0.513464780461868,10.0570498978273,1.98538459724532
30SVH2,NA,NA,NA,NA,NA,34,32,12891,4,28,12857,0.542324517902575,11.9662543475958,1.97927700110148
30SVH3,124,124,118,118,-6,32,23,8481,11,12,8449,0.547217266900199,19.5094958537261,2.70196070719643
30SVH4,NA,NA,NA,NA,NA,12,16,8765,9,7,8753,0.579112523561948,6.19312597202668,1.68496348329657
30SVJ1,NA,NA,NA,NA,NA,32,16,11252,8,8,11220,0.485376097939231,13.107402223144,2.07658785725054
30SVJ2,NA,NA,NA,NA,NA,44,24,8315,12,12,8271,0.5008928682897,36.0828726459737,2.82373804830606
30SVJ3,NA,NA,NA,NA,NA,18,14,4889,6,8,4871,0.503341420904382,37.496311613041,3.22335106618357
30SVJ4,NA,NA,NA,NA,NA,20,13,5728,6,7,5708,0.518925846397103,44.0280474994053,3.24177769986494
30SVK2,NA,NA,NA,NA,NA,67,21,6060,16,5,5993,0.491653151326365,12.3816556592292,2.33835056628883
30SVK4,123,123,145,145,22,30,18,6537,8,10,6507,0.503869069087041,13.1836979438142,2.36543224299114
30SWF1,136,136,135,135,-1,70,16,4202,20,-4,4132,0.579207105544007,6.34945058873205,0.639932451529835
30SWF3,NA,NA,NA,NA,NA,47,15,2586,13,2,2539,0.553497007914952,6.50618807285024,1.45865255178119
30SWG1,124,124,122,122,-2,131,20,9515,4,16,9384,0.581655849109996,4.16537291332576,1.22115401800258
30SWG2,106,106,110,110,4,395,26,10880,8,18,10485,0.576488064481066,2.52137458922856,0.66008785690622
30SWG3,103,103,99,99,-4,4,14,6278,2,12,6274,0.55744462580114,6.21464785869405,1.58035731231253
30SWG4,NA,NA,NA,NA,NA,69,24,6656,4,20,6587,0.569842678683621,3.90889310188606,1.17620876116783
30SWH1,116,116,126,126,10,63,15,9044,13,2,8981,0.566770880562919,10.6666662223318,1.9950148089683
30SWH2,NA,NA,NA,NA,NA,158,20,12255,21,-1,12097,0.574729442596436,4.13274691412451,1.15829056711676
30SWH3,NA,NA,NA,NA,NA,75,15,7848,9,6,7773,0.572333329518636,6.11726481852144,1.5733079983887
30SWH4,NA,NA,NA,NA,NA,21,19,9955,14,5,9934,0.562108455744005,4.00877235568292,1.162222568819
