"cell50x50","lon","lat"
"29UPA3",3280410.99676612,3639079.03920062
"29UPA4",3268164.55841862,3590405.06823017
"29UPB2",3249155.53017763,3699852.21713976
"29UPB4",3292711.2240307,3687735.67102865
"29UPT1",3183708.28087313,3353345.98798743
"30STF3",2925513.45305931,1667271.83711272
"29UPU1",3183051.62931563,3457614.80315963
"29UPU2",3170008.88954214,3409117.39737578
"29UPU3",3231749.31467973,3444287.82657932
"29UPU4",3219719.68495268,3395553.56646488
"29UPV1",3209315.96949915,3554562.20568933
"29UPV2",3196154.17467893,3506096.65305791
"29UPV3",3255972.04029175,3541714.46012277
"29UPV4",3243833.76408978,3493008.36977687
"29VPC3",3329930.58528584,3833592.85232794
"30SUK2",3037836.51825898,2001426.55405325
"29VPE4",3381047.54189223,3976178.45232746
"30SUG1",2999140.24434278,1755292.36170834
"30STG3",2942488.02278142,1765294.2301515
"30STG4",2933921.52718298,1716279.82423281
"30STH3",2959492.56573013,1863403.48418538
"30STH4",2950965.99553382,1814340.83804814
"30STJ3",2976691.88937777,1961574.02618976
"30STJ4",2968067.90432217,1912481.39638124
"30STK4",2985363.739444,2010680.08808798
"30SUF1",2983959.0685902,1656960.74320727
"30SUF2",2976433.35540584,1607824.61059895
"30SUF3",3033500.9433048,1648225.67971129
"30SUF4",3026003.37755492,1599091.90303782
"30SUG2",2991528.41947572,1706117.2767733
"30SUG3",3048627.88445886,1746552.619791
"30SUG4",3041042.6046321,1697379.54058307
"30SUH1",3014491.71746263,1853696.5923074
"30SUH2",3006794.69764625,1804485.93228716
"30SUH3",3063928.10773165,1844950.98430667
"30SUH4",3056256.42692523,1795743.20279727
"30SUJ1",3030012.78155605,1952167.99329003
"30SUJ2",3022230.8847069,1902924.14579367
"30SUJ3",3079401.11683746,1943416.43667125
"30SUJ4",3071642.94719768,1894175.73676601
"30SUK4",3087202.11932095,1992671.92307753
"30SVF1",3083078.49944133,1639566.41756737
"30SVF3",3132688.15521071,1630983.34387532
"30SVG1",3098150.24717644,1737883.21372277
"30SVG2",3090592.18440839,1688715.46497838
"30SVG3",3147704.11201026,1729285.30948718
"30SVG4",3140173.46698986,1680124.85820022
"30SVH1",3113399.10115742,1836271.67293957
"30SVH2",3105752.62355688,1787068.8434384
"30SVH3",3162900.39939379,1827659.22624614
"30SVH4",3155279.66909907,1778463.56377349
"30SVJ1",3128823.24457521,1934726.44648479
"30SVJ2",3121089.11496041,1885491.30392554
"30SVJ3",3178275.40619049,1926098.73593768
"30SVJ4",3170565.66010622,1876871.35037556
"30SVK2",3136601.02636078,1983976.46938976
"30SVK4",3186029.56119214,1975340.96599697
"30SWF1",3182325.94969789,1622476.72635636
"30SWF3",3231987.85291223,1614047.21024777
"30SWG1",3197285.55594785,1720759.73864138
"30SWG2",3189782.77660341,1671608.80211296
"30SWG3",3246890.52827161,1712307.1546089
"30SWG4",3239415.7940571,1663167.99377625
"30SWH1",3212428.43813913,1819114.31260245
"30SWH2",3204834.26053454,1769928.33323429
"30TTN3",3047404.49746,2354738.91465551
"30SWH3",3261979.46546029,1810637.53917088
"30SWH4",3254411.78221202,1761463.90495201
"30SWJ1",3227753.53161958,1917533.98654372
"30SWJ2",3220068.32929623,1868316.57693132
"30SWJ3",3277254.09338714,1909032.77155502
"30SWJ4",3269593.91020334,1859827.50014427
"30SWK2",3235483.91069876,1966766.13322046
"30SWK4",3284960.18418998,1958252.60956803
"30SXF1",3281670.00430673,1605695.77658729
"30SXG1",3296515.039107,1703928.0006064
"30SXG2",3289068.68890391,1654802.55161698
"30SXG3",3346155.65821126,1695622.16958641
"30SXH1",3311549.88229495,1802229.39332101
"30SXH2",3304008.79131334,1753070.3886914
"30SXH3",3361135.41628499,1793890.7053826
"30SXH4",3353621.61747009,1744748.24763278
"30SXJ1",3326773.01030913,1900595.74570906
"30SXJ2",3319138.14039879,1851404.81342079
"30SXJ3",3376306.47882242,1892223.43021278
"30SXJ4",3368697.30897872,1843049.22170767
"30SXK2",3334454.53193821,1949800.93145135
"30SXK4",3383963.20924958,1941411.54133012
"30SYG1",3403017.33361449,1686104.68064195
"30SYH1",3416327.04610813,1784586.29936809
"30SYH2",3409651.24373034,1735336.30185526
"30SYJ1",3429802.76462096,1883138.8963895
"30SYJ2",3423044.26353467,1833854.01306868
"30SYK2",3436602.82223749,1932439.48336663
"30TTK3",2994084.06718882,2059798.86214593
"30TTL3",3011667.74055696,2158072.53407179
"30TTL4",3002852.12544299,2108930.02634257
"30TTM3",3029441.64551284,2256388.15714804
"30TTM4",3020530.97872183,2207225.46417349
"30TTN4",3038399.53854171,2305559.38989385
"30TTP4",3056455.99980209,2403925.92649959
"30TUK1",3045701.94528936,2050699.49942516
"30TUK3",3095045.58049696,2041941.61873996
"30TUL1",3061558.34221123,2149286.10096352
"30TUL2",3053609.5921922,2099986.38869643
"30TUL3",3110860.10933562,2140520.85096543
"30TUL4",3102931.63801725,2091224.93384753
"30TUM1",3077580.13613558,2247920.84333643
"30TUM2",3069548.41379248,2198597.67549169
"30TUM3",3126843.36514106,2239148.78155492
"30TUM4",3118830.77221584,2189829.25406126
"30TUN1",3093766.8845219,2346598.0295948
"30TUN2",3085653.01100665,2297254.49393431
"30TUN3",3142994.74544494,2337818.01144579
"30TUN4",3134898.09703995,2288478.47639931
"30TUP2",3101921.80092926,2395951.03195106
"30TUP4",3151132.68977444,2387166.51594241
"30TUT3",3226223.52713915,2831579.06499617
"30TVK1",3144422.24758175,2033240.62535957
"30TVK3",3193828.22184563,2024597.31463182
