"cell50x50","SR"
"34VEN1",89
"34WCS4",66
"34VFR2",76
"34VFL4",87
"34WEB4",55
"34WEV1",59
"35TLF3",83
"35TLM4",77
"35TLF2",103
"35TMJ2",99
"35TMM1",51
"35TMH4",84
"35TPL2",80
"35TNG1",101
"35ULB3",78
"35UMB3",82
"35VLD3",74
"35VLH4",81
"35VMH2",80
"35VMC3",91
"35VMF1",88
"35VMK4",79
"35VNJ4",74
"35VNJ3",74
"35WLM4",76
"35WMN1",81
"35WMQ4",64
"35WMM2",77
"35WMQ2",67
"35WNR2",64
"35WPN2",63
"34SFJ1",52
"35TKG4",66
"34TFN4",86
"34TFK1",91
"31UFQ1",83
"35TMJ4",72
"35TLH4",85
"32TLT2",82
"32UNA3",69
"32ULU3",78
"32UPB3",68
"33TVG1",77
"33TUG2",68
"32UPU1",78
"33TWF2",72
"33TWM3",84
"33UVQ1",83
"33TYM2",74
"33UVU2",78
"34TDQ1",80
"33UXQ3",89
"33VXD2",78
"34TCT3",74
"33UXU4",73
"33UWS4",83
"34TFR2",45
"34UDU3",84
"34UDV2",69
"34UCV1",87
"34UEA1",82
"34UEB4",92
"34UFV1",80
"34UFD3",93
"30SYH1",59
"30TTK3",80
"30TUM4",72
"30UVC2",64
"30UWD1",58
"30UVG3",75
"30VUH2",68
"30UYU2",69
"31TBF4",70
"31TCN4",80
"31UFR4",72
"31TDN4",72
"31TFK3",87
"31VFJ2",73
"31VFH2",67
"31UFU4",91
"32TLT3",84
"32TNT1",78
"32TNS1",66
"32ULB1",72
"32UMB4",63
"32ULU4",82
"32ULV4",78
"32ULV2",82
"32UNU2",70
"32UMV1",68
"32UNA2",72
"32UPA4",77
"32UNG2",71
"32UQU1",72
"32UPE4",71
"32UPV2",76
"32VLK3",73
"32VNK1",34
"32VMM4",68
"32VNQ4",64
"32VNM3",70
"32VPQ2",63
"33TVM1",71
"33UUP3",73
"33TXN1",86
"33UUR3",81
"33UVB1",81
"33UVT1",80
"33UVU1",84
"33UVU4",92
"33UWS2",84
"33VUD4",69
"33VVJ4",62
"33VUF4",66
"33VUC2",67
"33UXV3",80
"33VWD1",66
"33VWF2",70
"33VWE3",83
"33WUN3",61
"33WVM1",60
"33VWJ4",74
"33WWN1",65
"33WVN1",43
"33VXH1",80
"33WXM2",68
"34UCA3",86
"34UCF4",91
"34UDB1",82
"34UCA4",91
"34UCE3",83
"34UDA4",80
"34UDU1",90
"34UEV3",76
"34UFA2",87
"34UFB1",82
"34UFA1",84
"34VEJ2",75
"34VEH3",71
"34VEM3",91
"34VEK4",62
"34VFK4",78
"34VFL2",92
"34WDB4",47
"34WEA1",65
"35TKL3",67
"34WEU4",74
"35TNN4",80
"35UMA3",83
"35VLC4",72
"35VLK3",75
"35VMC1",76
"35VMD2",70
"35VNH2",93
"35VPK2",81
"35WLN3",81
"35WMT1",69
"35WMP3",70
"35WMS2",60
"35WMR1",58
"30SXJ1",57
"30TWT4",81
"30SVH3",62
"30UVF4",83
"31TFJ4",83
"31UES3",80
"31UET3",78
"31UET4",79
"32UMG3",74
"32TNT3",79
"33TTK3",71
"32UMV3",79
"33TXM4",74
"33UWV2",82
"33UXT2",82
"33VVE3",78
"34SDJ1",67
"34TET2",75
"34TFK3",73
"34UEC3",80
"34UFU2",83
"35TPL4",80
"29SQA1",83
"29SQE2",73
"29TPF1",51
"29SQD1",72
"29TQF2",80
"29UNA3",49
"29TQG2",67
"29UNT3",54
"30SWF1",70
"30SUJ2",68
"30SXG3",67
"30TVM4",79
"30TVM1",70
"30TWM4",71
"30TVN2",79
"30TXP2",78
"30TXM2",71
"30TXK3",58
"30TXQ1",64
"30TXR4",75
"30TYR1",77
"30UWC3",59
"30UUG3",61
"30UVE4",58
