"cell50x50","deltaT"
"29UNT2",0.310351595282555
"29UNT3",0.297243301314537
"29UNU1",0.288078756043405
"29UNU2",0.285837505802964
"29UNU3",0.291035353535354
"29UNU4",0.293552632080881
"29UNV1",0.308058380475504
"29UNV2",0.277251686712708
"29UNV3",0.295239674147739
"29UNV4",0.278303907375143
"29UPA1",0.403844591500103
"29UPA2",0.378950114297395
"29UPA3",0.437048216900194
"29UPA4",0.385405142662934
"29UPB2",0.409267987046286
"29UPB4",0.459480349937182
"29UPT1",0.306651256702564
"30STF3",0.510372874611302
"29UPU1",0.293803662368932
"29UPU2",0.298440116491073
"29UPU3",0.319216795957805
"29UPU4",0.312803871101803
"29UPV1",0.345958337783813
"29UPV2",0.3032207025064
"29UPV3",0.357663194616358
"29UPV4",0.337642904009138
"29VPC3",0.567589711539353
"30SUK2",0.489887144830492
"29VPE4",0.63014184667709
"30SUG1",0.474547054456628
"30STG3",0.462158149327987
"30STG4",0.476964545373472
"30STH3",0.46519133593585
"30STH4",0.453910440047157
"30STJ3",0.430579904924359
"30STJ4",0.450939294230731
"30STK4",0.437665776772933
"30SUF1",0.56298709225345
"30SUF2",0.559806963292564
"30SUF3",0.588611165682475
"30SUF4",0.580416488647461
"30SUG2",0.516561727729633
"30SUG3",0.513786277514976
"30SUG4",0.565659049289678
"30SUH1",0.459780897412981
"30SUH2",0.464136965863116
"30SUH3",0.483132197939116
"30SUH4",0.505143619405812
"30SUJ1",0.462097206115723
"30SUJ2",0.463017303671613
"30SUJ3",0.489759228446267
"30SUJ4",0.480296857995925
"30SUK4",0.49116285486159
"30SVF1",0.593257600610906
"30SVF3",0.570416645776658
"30SVG1",0.566870682723039
"30SVG2",0.590509348445468
"30SVG3",0.591571987449349
"30SVG4",0.578050089817421
"30SVH1",0.513464780461868
"30SVH2",0.542324517902575
"30SVH3",0.547217266900199
"30SVH4",0.579112523561948
"30SVJ1",0.485376097939231
"30SVJ2",0.5008928682897
"30SVJ3",0.503341420904382
"30SVJ4",0.518925846397103
"30SVK2",0.491653151326365
"30SVK4",0.503869069087041
"30SWF1",0.579207105544007
"30SWF3",0.553497007914952
"30SWG1",0.581655849109996
"30SWG2",0.576488064481066
"30SWG3",0.55744462580114
"30SWG4",0.569842678683621
"30SWH1",0.566770880562919
"30SWH2",0.574729442596436
"30TTN3",0.536786156100827
"30SWH3",0.572333329518636
"30SWH4",0.562108455744005
"30SWJ1",0.519967506458233
"30SWJ2",0.543628252945937
"30SWJ3",0.541720755688556
"30SWJ4",0.568398302251642
"30SWK2",0.535700754685835
"30SWK4",0.551055208429114
"30SXF1",NA
"30SXG1",0.576562469070022
"30SXG2",0.561708221435547
"30SXG3",0.594001449387649
"30SXH1",0.60891205072403
"30SXH2",0.592500015784954
"30SXH3",0.628977286351192
