polygon_id,Forest_t0,Agriculture_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_017,845680000,604670000,1049650000,2500000000,28,26,72,126,428910000,710430000,1360660000,2500000000,23,26,58,107,-416770000,105760000,311010000,0,-5,0,-14,-19
1_018,414280000,744400000,1341320000,2500000000,25,29,76,130,268670000,836450000,1394880000,2500000000,26,32,82,140,-145610000,92050000,53560000,0,1,3,6,10
1_019,439840000,1858190000,201970000,2500000000,22,28,67,117,247410000,1806490000,446100000,2500000000,24,27,76,127,-192430000,-51700000,244130000,0,2,-1,9,10
1_020,466820000,1356390000,676790000,2500000000,28,29,74,131,380690000,1471040000,648270000,2500000000,26,25,76,127,-86130000,114650000,-28520000,0,-2,-4,2,-4
1_021,380550000,2010980000,108470000,2500000000,18,28,67,113,168510000,1698900000,632590000,2500000000,18,26,69,113,-212040000,-312080000,524120000,0,0,-2,2,0
1_022,122230000,1766120000,611650000,2500000000,31,36,76,143,123410000,1844420000,532170000,2500000000,33,31,86,150,1180000,78300000,-79480000,0,2,-5,10,7
1_023,786170000,983310000,730520000,2500000000,26,26,68,120,367440000,968540000,1164020000,2500000000,25,24,71,120,-418730000,-14770000,433500000,0,-1,-2,3,0
1_024,484080000,1091590000,924330000,2500000000,33,34,80,147,267670000,1074310000,1158020000,2500000000,29,28,78,135,-216410000,-17280000,233690000,0,-4,-6,-2,-12
1_025,50250000,783370000,1666380000,2500000000,23,40,92,155,39860000,768310000,1691830000,2500000000,26,41,100,167,-10390000,-15060000,25450000,0,3,1,8,12
1_026,15130000,55280000,1668920000,1739330000,20,33,75,128,15690000,31970000,1691670000,1739330000,20,27,75,122,560000,-23310000,22750000,0,0,-6,0,-6
1_027,688730000,741300000,1069970000,2500000000,31,25,77,133,572660000,767310000,1160030000,2500000000,27,28,76,131,-116070000,26010000,90060000,0,-4,3,-1,-2
1_028,505860000,1099070000,895070000,2500000000,16,16,54,86,902670000,960240000,637090000,2500000000,18,17,56,91,396810000,-138830000,-257980000,0,2,1,2,5
1_029,283010000,1637100000,579890000,2500000000,24,25,68,117,306960000,1560060000,632980000,2500000000,27,26,70,123,23950000,-77040000,53090000,0,3,1,2,6
1_030,64010000,904160000,1531830000,2500000000,26,33,78,137,83550000,927110000,1489340000,2500000000,28,31,80,139,19540000,22950000,-42490000,0,2,-2,2,2
1_031,133870000,1985160000,380970000,2500000000,25,36,77,138,106360000,1936770000,456870000,2500000000,30,31,92,153,-27510000,-48390000,75900000,0,5,-5,15,15
1_032,96380000,1353660000,1049960000,2500000000,27,34,79,140,105550000,1452780000,941670000,2500000000,32,31,90,153,9170000,99120000,-108290000,0,5,-3,11,13
1_033,219170000,163890000,1886850000,2269910000,11,16,46,73,221930000,150110000,1897870000,2269910000,15,12,47,74,2760000,-13780000,11020000,0,4,-4,1,1
1_034,462900000,289980000,1631840000,2384720000,16,19,59,94,378310000,291380000,1715030000,2384720000,19,24,65,108,-84590000,1400000,83190000,0,3,5,6,14
1_035,594330000,1031150000,874520000,2500000000,21,16,50,87,393800000,1022140000,1084060000,2500000000,26,17,59,102,-200530000,-9010000,209540000,0,5,1,9,15
1_036,1017820000,635340000,846840000,2500000000,24,18,54,96,717870000,615100000,1167030000,2500000000,23,14,57,94,-299950000,-20240000,320190000,0,-1,-4,3,-2
1_037,748630000,529020000,1222350000,2500000000,21,20,68,109,790910000,449450000,1259640000,2500000000,25,21,70,116,42280000,-79570000,37290000,0,4,1,2,7
1_038,616790000,665380000,1217830000,2500000000,24,21,65,110,395660000,676390000,1427950000,2500000000,17,17,65,99,-221130000,11010000,210120000,0,-7,-4,0,-11
1_039,602590000,694890000,1202520000,2500000000,23,26,68,117,939720000,490910000,1069370000,2500000000,27,20,72,119,337130000,-203980000,-133150000,0,4,-6,4,2
1_040,445530000,474580000,1579890000,2500000000,26,25,78,129,368620000,461670000,1669710000,2500000000,26,17,69,112,-76910000,-12910000,89820000,0,0,-8,-9,-17
1_041,771040000,1126010000,602950000,2500000000,17,24,61,102,880200000,904580000,715220000,2500000000,21,21,62,104,109160000,-221430000,112270000,0,4,-3,1,2
1_042,993420000,751790000,754790000,2500000000,21,23,63,107,1020590000,641400000,838010000,2500000000,21,25,72,118,27170000,-110390000,83220000,0,0,2,9,11
1_043,632550000,1133560000,733890000,2500000000,18,18,56,92,959760000,1026110000,514130000,2500000000,19,18,60,97,327210000,-107450000,-219760000,0,1,0,4,5
1_044,481470000,784390000,1234140000,2500000000,25,21,61,107,330930000,781840000,1387230000,2500000000,26,19,74,119,-150540000,-2550000,153090000,0,1,-2,13,12
1_045,510000000,769190000,1220810000,2500000000,36,31,78,145,426730000,772570000,1300700000,2500000000,29,23,70,122,-83270000,3380000,79890000,0,-7,-8,-8,-23
1_046,367300000,1209360000,923340000,2500000000,24,22,56,102,231880000,1226180000,1041940000,2500000000,29,19,71,119,-135420000,16820000,118600000,0,5,-3,15,17
