"cellID","Forest_t0","Agriculture_t0","Urban_t0","Grassland_t0","Other_t0","Area_Total_t0","forest_sp_t0","agriculture_sp_t0","generalist_sp_t0","Sp_Total_t0","Forest_t1","Agriculture_t1","Urban_t1","Grassland_t1","Other_t1","Area_Total_t1","forest_sp_t1","agriculture_sp_t1","generalist_sp_t1","Sp_Total_t1","deltaT","deltaS_F","deltaS_A","deltaS_O"
"size_1_051",289820000,1128300000,32400000,58280000,991200000,2.5e+09,35,31,65,131,289820000,1128300000,32400000,58280000,991200000,2.5e+09,21,13,53,87,0.5,-14,-18,-12
"size_1_052",278760000,1309910000,14390000,53810000,843130000,2.5e+09,31,30,69,130,278760000,1309910000,14390000,53810000,843130000,2.5e+09,18,12,56,86,0.5,-13,-18,-13
"size_1_053",936380000,973730000,14660000,6470000,568760000,2.5e+09,30,26,47,103,936380000,973730000,14660000,6470000,568760000,2.5e+09,15,12,44,71,0.5,-15,-14,-3
"size_1_054",932320000,351770000,40870000,172930000,1002110000,2.5e+09,31,29,62,122,932320000,351770000,40870000,172930000,1002110000,2.5e+09,17,13,53,83,0.5,-14,-16,-9
"size_1_055",962640000,422910000,17520000,50010000,1046920000,2.5e+09,25,21,42,88,962640000,422910000,17520000,50010000,1046920000,2.5e+09,12,7,41,60,0.5,-13,-14,-1
"size_1_056",593010000,669810000,8110000,273350000,955720000,2.5e+09,32,34,77,143,593010000,669810000,8110000,273350000,955720000,2.5e+09,24,18,71,113,0.5,-8,-16,-6
"size_1_057",86650000,1243240000,9950000,464260000,695900000,2.5e+09,31,31,68,130,86650000,1243240000,9950000,464260000,695900000,2.5e+09,24,19,68,111,0.5,-7,-12,0
"size_1_058",138430000,1375380000,11360000,691490000,283340000,2.5e+09,36,36,84,156,138430000,1375380000,11360000,691490000,283340000,2.5e+09,21,18,62,101,0.5,-15,-18,-22
"size_1_059",324290000,883140000,7590000,252620000,1032360000,2.5e+09,31,32,64,127,324290000,883140000,7590000,252620000,1032360000,2.5e+09,22,15,66,103,0.5,-9,-17,2
"size_1_060",663010000,186100000,4540000,337870000,1308480000,2.5e+09,23,28,55,106,663010000,186100000,4540000,337870000,1308480000,2.5e+09,14,13,54,81,0.5,-9,-15,-1
"size_1_061",887670000,241270000,21550000,295890000,1053620000,2.5e+09,28,28,61,117,887670000,241270000,21550000,295890000,1053620000,2.5e+09,19,15,54,88,0.5,-9,-13,-7
"size_1_062",9570000,28480000,3e+06,78790000,1720200000,1840040000,34,19,50,103,9570000,28480000,3e+06,78790000,1720200000,1840040000,10,18,34,62,0.5,-24,-1,-16
"size_1_063",88650000,24020000,2800000,257130000,1964550000,2337150000,35,16,49,100,88650000,24020000,2800000,257130000,1964550000,2337150000,8,13,32,53,0.5,-27,-3,-17
"size_1_064",40170000,64350000,8810000,545610000,1841060000,2.5e+09,39,19,53,111,40170000,64350000,8810000,545610000,1841060000,2.5e+09,10,14,37,61,0.5,-29,-5,-16
"size_1_065",32590000,143050000,3040000,109030000,2212290000,2.5e+09,26,17,38,81,32590000,143050000,3040000,109030000,2212290000,2.5e+09,9,16,40,65,0.5,-17,-1,2
"size_1_066",168700000,319410000,11830000,836180000,1163880000,2.5e+09,25,14,33,72,168700000,319410000,11830000,836180000,1163880000,2.5e+09,7,17,41,65,0.5,-18,3,8
"size_1_067",85680000,250090000,16430000,477660000,1670140000,2.5e+09,34,18,50,102,85680000,250090000,16430000,477660000,1670140000,2.5e+09,10,12,38,60,0.5,-24,-6,-12
