"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT"
"36VUQ4",150,150,178,178,28,380,38,236,28,-10,-144,1.48335624547191
"36VUR3",124,124,105,105,-19,125,15,40,9,-6,-85,1.52580529897232
"36VUR4",146,146,167,167,21,291,28,123,21,-7,-168,1.52512826767576
"36VVH1",NA,NA,120,120,NA,NA,NA,16,10,NA,NA,1.31998105543964
"36VVH2",NA,NA,119,119,NA,NA,NA,2,2,NA,NA,1.35698264517435
"36VVH3",NA,NA,144,144,NA,62,3,178,20,17,116,1.30690021998322
"36VVH4",NA,NA,131,131,NA,NA,NA,3,3,NA,NA,1.34034690104033
"36VVJ1",NA,NA,99,99,NA,NA,NA,14,8,NA,NA,1.34003958051855
"36VVJ2",NA,NA,121,121,NA,NA,NA,NA,NA,NA,NA,1.31403969835352
"36VVJ3",NA,NA,122,122,NA,NA,NA,NA,NA,NA,NA,1.32314221317118
"36VVJ4",NA,NA,119,119,NA,1,1,3,3,2,2,1.31051651781256
"36VVK1",NA,NA,101,101,NA,NA,NA,344,25,NA,NA,1.35236184197853
"36VVK2",NA,NA,102,102,NA,NA,NA,2,2,NA,NA,1.36024539892753
"36VVK3",NA,NA,86,86,NA,1,1,7,3,2,6,1.37034659454788
"36VVK4",NA,NA,107,107,NA,3,3,NA,NA,NA,NA,1.3452066172253
"36VVL1",1,1,104,104,103,2,2,8,4,2,6,1.30658368011574
"36VVL2",NA,NA,105,105,NA,1,1,3,3,2,2,1.33680250046012
"36VVL3",NA,NA,124,124,NA,NA,NA,NA,NA,NA,NA,1.37635117072564
"36VVL4",NA,NA,86,86,NA,NA,NA,2,2,NA,NA,1.37764659691683
"36VVM1",2,2,110,110,108,NA,NA,NA,NA,NA,NA,1.39891184026545
"36VVM2",1,1,104,104,103,1,1,11,7,6,10,1.33597178089208
"36VVM3",3,3,101,101,98,4,2,8,5,3,4,1.38484504656358
"36VVM4",NA,NA,97,97,NA,NA,NA,15,4,NA,NA,1.36383312501949
