polygon_id,Forest_t0,Agriculture_t0,Urban_t0,Grassland_t0,Other_t0,Area_Total_t0,forest_sp_t0,agriculture_sp_t0,generalist_sp_t0,Sp_Total_t0,Forest_t1,Agriculture_t1,Urban_t1,Grassland_t1,Other_t1,Area_Total_t1,forest_sp_t1,agriculture_sp_t1,generalist_sp_t1,Sp_Total_t1,delta_Forest,delta_Agriculture,delta_Urban,delta_Grassland,delta_Other,delta_Area_Total,delta_forest_sp,delta_agriculture_sp,delta_generalist_sp,delta_Sp_Total
1_080,121150000,308250000,18760000,1766180000,285660000,2500000000,16,21,53,90,225980000,165120000,22430000,1852520000,233950000,2500000000,12,16,51,79,104830000,-143130000,3670000,86340000,-51710000,0,-4,-5,-2,-11
1_081,28230000,101980000,30650000,1788660000,550480000,2500000000,16,27,57,100,66160000,70720000,33350000,1826770000,503000000,2500000000,16,25,50,91,37930000,-31260000,2700000,38110000,-47480000,0,0,-2,-7,-9
1_082,106350000,117800000,21480000,2062810000,191560000,2500000000,17,21,50,88,93020000,103460000,38200000,2055300000,210020000,2500000000,18,15,45,78,-13330000,-14340000,16720000,-7510000,18460000,0,1,-6,-5,-10
1_083,33710000,159810000,90490000,2009740000,206250000,2500000000,19,24,61,104,39980000,175990000,129700000,1931310000,223020000,2500000000,13,23,55,91,6270000,16180000,39210000,-78430000,16770000,0,-6,-1,-6,-13
1_084,41040000,161160000,59130000,453950000,1734450000,2449730000,19,28,65,112,66270000,129390000,70730000,481710000,1701630000,2449730000,16,27,61,104,25230000,-31770000,11600000,27760000,-32820000,0,-3,-1,-4,-8
1_085,64280000,106160000,24680000,628460000,1676420000,2500000000,18,29,63,110,57760000,83090000,35880000,618560000,1704710000,2500000000,12,23,54,89,-6520000,-23070000,11200000,-9900000,28290000,0,-6,-6,-9,-21
1_086,365890000,1479860000,10260000,96060000,547930000,2500000000,25,34,82,141,427510000,1482570000,22830000,64480000,502610000,2500000000,31,32,90,153,61620000,2710000,12570000,-31580000,-45320000,0,6,-2,8,12
1_087,239430000,421440000,58090000,957900000,823140000,2500000000,18,28,66,112,331760000,278140000,73720000,1108090000,708290000,2500000000,20,23,66,109,92330000,-143300000,15630000,150190000,-114850000,0,2,-5,0,-3
1_088,70130000,664930000,31140000,893000000,840800000,2500000000,15,25,64,104,94130000,438020000,47510000,1095650000,824690000,2500000000,17,17,53,87,24000000,-226910000,16370000,202650000,-16110000,0,2,-8,-11,-17
1_089,53260000,288930000,36700000,1678860000,442250000,2500000000,16,25,55,96,117750000,243400000,40320000,1722590000,375940000,2500000000,16,19,50,85,64490000,-45530000,3620000,43730000,-66310000,0,0,-6,-5,-11
1_090,25630000,615480000,380160000,943780000,534950000,2500000000,18,24,67,109,32940000,533740000,444530000,943570000,545220000,2500000000,16,20,64,100,7310000,-81740000,64370000,-210000,10270000,0,-2,-4,-3,-9
1_091,131530000,2240000,540000,246510000,2119180000,2500000000,22,27,65,114,147650000,0,2210000,279380000,2070760000,2500000000,19,25,58,102,16120000,-2240000,1670000,32870000,-48420000,0,-3,-2,-7,-12
1_092,279420000,1510530000,24200000,316700000,369150000,2500000000,32,32,90,154,577890000,1255140000,34650000,355410000,276910000,2500000000,31,35,89,155,298470000,-255390000,10450000,38710000,-92240000,0,-1,3,-1,1
1_093,177720000,1765650000,6100000,275440000,275090000,2500000000,22,30,63,115,159010000,1779690000,9710000,283000000,268590000,2500000000,20,31,68,119,-18710000,14040000,3610000,7560000,-6500000,0,-2,1,5,4
1_094,350550000,1022860000,5640000,481000000,639950000,2500000000,29,30,76,135,308990000,990360000,13390000,500240000,687020000,2500000000,33,33,89,155,-41560000,-32500000,7750000,19240000,47070000,0,4,3,13,20
1_095,48390000,1637350000,19100000,575030000,220130000,2500000000,28,34,82,144,49430000,1677780000,40800000,525660000,206330000,2500000000,28,33,89,150,1040000,40430000,21700000,-49370000,-13800000,0,0,-1,7,6
1_096,314940000,1306160000,11060000,181790000,686050000,2500000000,33,33,86,152,347420000,1258790000,26480000,263550000,603760000,2500000000,35,37,105,177,32480000,-47370000,15420000,81760000,-82290000,0,2,4,19,25
1_097,305690000,1269610000,10680000,44370000,869650000,2500000000,27,29,71,127,386470000,1199360000,29100000,83130000,801940000,2500000000,29,31,81,141,80780000,-70250000,18420000,38760000,-67710000,0,2,2,10,14
