"cell50x50","deltaT"
"30SVF1",0.746374008872292
"30SVF3",0.724592281523205
"30SVG1",0.708667114898041
"30SVG2",0.74874527586831
"30SVG3",0.747385365622384
"30SVG4",0.746058638578926
"30SVH1",0.611353483776118
"30SVH2",0.654317590527068
"30SVH3",0.649807923180716
"30SVH4",0.702666282653809
"30SVJ1",0.587148276242343
"30SVJ2",0.595122436424354
"30SVJ3",0.618385946595824
"30SVJ4",0.630428524760457
"30SVK2",0.591605266967377
"30SVK4",0.611311937307383
"30SWF1",0.734418174595509
"30SWF3",0.718745447340466
"30SWG1",0.738245251890901
"30SWG2",0.737404120432866
"30SWG3",0.719153951098035
"30SWG4",0.740517042733573
"30SWH1",0.680097416469029
"30SWH2",0.721248998270406
"30TTN3",0.612137164269294
"30SWH3",0.700977274576823
"30SWH4",0.722610530996681
"30SWJ1",0.628554195552677
"30SWJ2",0.65197263445173
"30SWJ3",0.66220726904931
"30SWJ4",0.687672181562944
"30SWK2",0.653608284987413
"30SWK4",0.675792043859308
"30SXF1",NA
"30SXG1",0.73775340415336
"30SXG2",0.730113525390625
"30SXG3",0.743250460460268
"30SXH1",0.746241052945455
"30SXH2",0.748322940694875
"30SXH3",0.758372696963224
"30SXH4",0.751913646598915
"30SXJ1",0.729931620808391
"30SXJ2",0.738955666037167
"30SXJ3",0.763924185434977
"30SXJ4",0.760824734732609
"30SXK2",0.72334379308364
"30SXK4",0.782765146758821
"30SYG1",0.771591186523438
"30SYH1",0.747703635692596
"30SYH2",0.748816347122192
"30SYJ1",0.763945264723694
"30SYJ2",0.758924355743625
"30SYK2",0.797553924192865
"30TTK3",0.548623781937819
"30TTL3",0.593434339914566
"30TTL4",0.577945345098322
"30TTM3",0.620215948525961
"30TTM4",0.617920785336881
"30TTN4",0.629164105369931
"30TTP4",0.605267779771672
"30TUK1",0.591721471750511
"30TUK3",0.59624653929597
"30TUL1",0.639357253043882
"30TUL2",0.599899192909142
"30TUL3",0.665734433508539
"30TUL4",0.612761153937867
"30TUM1",0.664901627434625
"30TUM2",0.655522846881254
"30TUM3",0.727425191460586
"30TUM4",0.707017427915102
"30TUN1",0.680075813062263
"30TUN2",0.714553963323558
"30TUN3",0.693667813666962
"30TUN4",0.738380479496836
"30TUP2",0.645833333333333
"30TUP4",0.68560619354248
"30TUT3",0.781628608703613
"30TVK1",0.605272981504731
"30TVK3",0.660456025755251
"30TVL1",0.726466953393185
"30TVL2",0.652329405959772
"30TVL3",0.758611282744965
"30TVL4",0.738035678863525
"30TVM1",0.757380300952542
"30TVM2",0.7420247222438
"30TVM3",0.755125202783724
"30TVM4",0.755231677711784
"30TVN1",0.699676066431506
"30TVN2",0.737094204147141
"30TVN3",0.718946952819824
"30TVN4",0.744680913289388
"30TVP2",0.68715145111084
"30TVP4",0.7008174344113
"30TVT1",0.802732672010149
"30TVT3",0.836572015285492
"30TWK1",0.707907800550585
"30TWK3",0.722965613106229
"30TWL1",0.76871310271226
"30TWL2",0.757662350790841
"30TWL3",0.794492629080108
"30TWL4",0.761291464980768
"30TWM1",0.766343299935504
"30TWM2",0.771295776614895
"30TWM3",0.781913461992818
"30TWM4",0.791907697735411
"30TWN1",0.745108585357666
"30TWN2",0.760176808906324
"30TWN3",0.813041898939345
"30TWN4",0.806805876942424
"30TWP2",0.74073232014974
"30TWP4",0.854870251246861
"30TWS3",0.889440271589491
"30TWS4",0.88939380645752
"30TWT1",0.877297987761321
"30TWT2",0.888470649719238
"30TWT3",0.861702179908752
"30TWT4",0.887165830026265
"30TXK1",0.739078286621306
"30TXK3",0.806947671914402
"30TXL1",0.807829076593572
"30TXL2",0.784062663960901
