"cell50x50","forest_abs","agriculture_abs","grassland_abs","urban_abs","other_abs","forest_rel","agriculture_rel","grassland_rel","urban_rel","other_rel"
"33TUL1",36.514715323481,2034.74691278977,7.04006101273549,273.706021297115,148.070307297563,0.0146054303364387,0.813873366497923,0.00281593652791441,0.109478991998279,0.0592262746394446
"33TUL2",1.51355883772273,124.101867069331,0,25.4317715233148,2349.05327376961,0.000605399205015255,0.0496387519217442,0,0.0101722998000589,0.939583549073182
"33TUL3",272.863016866128,1093.99130070664,12.2281506719073,195.212268544032,926.730513380887,0.109100464638502,0.43741713548572,0.00488925518487994,0.0780528979188814,0.370540246772017
"33TUL4",159.949236670521,282.776469088555,7.71715485399077,45.7154295931247,2004.8869582093,0.0639529559778476,0.113063315934689,0.0030855718659548,0.0182785295956109,0.801619626625897
"33TUM1",1341.04563225643,70.7485314174903,539.799843510507,51.2018224558389,497.310894381945,0.536395354394685,0.0282982045277127,0.215910720260001,0.0204798547053482,0.198915866112253
"33TUM2",1321.25752769969,520.614579470056,108.797025711796,83.2059259425012,466.245939493266,0.528477433127818,0.208235753317721,0.0435167041055298,0.0332807596106358,0.186489349838296
"33TUM3",1516.71891825524,183.549307169908,409.717343504207,88.82221124915,302.214586481132,0.606439565864807,0.0733897103907376,0.1638199437822,0.0355143610202018,0.120836418942054
"33TUM4",1335.90158051055,550.057791928999,99.4764182000489,124.121476763124,391.492978774086,0.534136242385635,0.219930724210694,0.039773858342955,0.04962774216666,0.156531432894056
"33TUN1",1445.80634476028,15.7033803441393,602.583613281705,129.002721850555,307.027473779866,0.578293962313749,0.00628104176872862,0.241021535569336,0.0515985390703102,0.122804921277875
"33TUN2",722.893540312906,10.3757000055931,953.518864525518,62.0550503213591,751.252459330113,0.289146357491925,0.00415012127753637,0.381392959132059,0.0248210708268778,0.300489491271602
"33TUN3",1410.27974783778,18.3122177005351,463.451460695108,145.591590538077,463.401672174987,0.563878072669072,0.00732185088746088,0.185303743341057,0.0582124969143913,0.185283836188019
"33TUN4",1002.38603008145,8.2149730278068,793.785460433545,93.5112869141014,603.088553214723,0.4007962892919,0.00328469332908646,0.317388967411861,0.0373897637011526,0.241140286266
"33TVE1",3.34583607080185,24.6157939494708,0.826501172251648,5.66601406037576,2467.18566193476,0.00133745715957536,0.00983986338830442,0.000330383762633198,0.0022649200113047,0.986227375678182
"33TVE3",34.4339010426552,234.465192004152,4.85938221770264,38.8451844902828,2189.32097083262,0.0137629649677219,0.0937139309224928,0.00194225763569933,0.0155261209771785,0.875054725496907
"33TVF1",748.279868153055,1311.8695915983,100.022239788117,84.2696082953546,257.190087753836,0.299116756158626,0.524405631425808,0.0399828048066934,0.033685861331911,0.102808946276962
"33TVF2",38.6068297152318,691.776234283506,8.66338453759392,395.588062230409,1366.99245881297,0.0154326884802165,0.276530531008678,0.00346310007165035,0.158132314306186,0.54644136613327
"33TVF3",567.092505220792,1664.21550964963,89.7075798411637,64.5846778610043,116.324114519311,0.226662527511452,0.665174182815342,0.0358554320442253,0.0258140006925125,0.0464938569364679
"33TVF4",772.448275629865,1181.82903320911,45.9945932880557,293.921283845755,207.747391160144,0.308739657004581,0.472364949036246,0.0183835674229972,0.117477324014853,0.0830345025213228
