Natural,Human_dominated,Area_Total,natural_sp,human_dominated_sp,Sp_Total
885960000,1614040000,2500000000,13,123,136
936400000,1563600000,2500000000,13,120,133
830650000,1669350000,2500000000,13,125,138
1979450000,192790000,2172240000,18,106,124
1730230000,769770000,2500000000,23,142,165
1712770000,787230000,2500000000,21,133,154
2000180000,499820000,2500000000,23,129,152
1952470000,547530000,2500000000,20,132,152
1401720000,1098280000,2500000000,23,137,160
1469670000,1030330000,2500000000,22,134,156
1601850000,898150000,2500000000,22,132,154
1423580000,1076420000,2500000000,25,125,150
1094510000,1405490000,2500000000,12,127,139
1228590000,1271410000,2500000000,17,123,140
458180000,2041820000,2500000000,11,121,132
457770000,2042230000,2500000000,10,121,131
394120000,2105880000,2500000000,14,116,130
290680000,2209320000,2500000000,11,114,125
526450000,1973550000,2500000000,23,136,159
459960000,2040040000,2500000000,10,114,124
650490000,1849510000,2500000000,15,122,137
602760000,1897240000,2500000000,10,112,122
1409820000,889060000,2298880000,11,97,108
801870000,1698130000,2500000000,15,124,139
559520000,1940480000,2500000000,18,122,140
1617010000,623900000,2240910000,20,123,143
1296700000,1203300000,2500000000,23,119,142
76290000,2423710000,2500000000,20,117,137
320220000,2179780000,2500000000,18,114,132
1422200000,1040510000,2462710000,23,130,153
2051080000,409230000,2460310000,7,97,104
234890000,2265110000,2500000000,24,128,152
1491920000,757840000,2249760000,21,121,142
143690000,2356310000,2500000000,24,131,155
622340000,1877660000,2500000000,9,118,127
502070000,1997930000,2500000000,11,124,135
879550000,1620450000,2500000000,14,126,140
549560000,1950440000,2500000000,12,126,138
414870000,2085130000,2500000000,9,113,122
724700000,1775300000,2500000000,12,130,142
1347830000,1148260000,2496090000,20,149,169
382560000,2117440000,2500000000,13,126,139
139880000,2360120000,2500000000,12,114,126
237750000,2262250000,2500000000,12,120,132
1456120000,1029830000,2485950000,18,135,153
93510000,2406490000,2500000000,12,126,138
1384690000,601110000,1985800000,17,106,123
480910000,2019090000,2500000000,11,121,132
784190000,1715810000,2500000000,15,136,151
331660000,2168340000,2500000000,11,124,135
879040000,1620960000,2500000000,13,122,135
820040000,1679960000,2500000000,15,135,150
591390000,1908610000,2500000000,9,106,115
434030000,2065970000,2500000000,13,136,149
586540000,1913460000,2500000000,11,131,142
321290000,2178710000,2500000000,14,128,142
177170000,2322830000,2500000000,12,118,130
485590000,2014410000,2500000000,13,117,130
525380000,1974620000,2500000000,14,123,137
640020000,1859980000,2500000000,17,132,149
118360000,2381640000,2500000000,10,114,124
669300000,1830700000,2500000000,19,134,153
1654530000,539720000,2194250000,18,127,145
1022240000,1477760000,2500000000,20,134,154
909550000,1590450000,2500000000,17,132,149
1158640000,1341360000,2500000000,12,118,130
1127690000,1372310000,2500000000,14,123,137
937680000,1562320000,2500000000,8,109,117
643530000,1856470000,2500000000,18,136,154
640940000,1859060000,2500000000,16,133,149
818170000,1681830000,2500000000,15,134,149
948370000,1551630000,2500000000,16,131,147
780930000,1719070000,2500000000,11,107,118
1477010000,1022990000,2500000000,16,130,146
1336790000,1163210000,2500000000,12,111,123
1345670000,1154330000,2500000000,13,119,132
641030000,1858970000,2500000000,12,124,136
819520000,1680480000,2500000000,16,137,153
445140000,2054860000,2500000000,14,132,146
282400000,2217600000,2500000000,19,135,154
399540000,2100460000,2500000000,21,141,162
1012010000,1487990000,2500000000,19,140,159
434690000,2065310000,2500000000,16,139,155
2001220000,498780000,2500000000,19,124,143
997810000,1502190000,2500000000,18,136,154
860000000,1640000000,2500000000,20,128,148
1152500000,1347500000,2500000000,25,150,175
2004050000,494270000,2498320000,18,121,139
878480000,1621520000,2500000000,16,126,142
1063140000,1436860000,2500000000,11,119,130
2294920000,87560000,2382480000,34,123,157
2314890000,113060000,2427950000,34,122,156
1465990000,13580000,1479570000,23,76,99
2367810000,132190000,2500000000,32,120,152
1897860000,602140000,2500000000,40,134,174
2392740000,107260000,2500000000,31,107,138
2431800000,68200000,2500000000,30,117,147
2475960000,24040000,2500000000,30,105,135
1676650000,823350000,2500000000,22,124,146
2378330000,121670000,2500000000,30,104,134
2472510000,27490000,2500000000,41,115,156
2469410000,30590000,2500000000,34,108,142
1754250000,8560000,1762810000,39,118,157
2125810000,374190000,2500000000,16,109,125
2050540000,449460000,2500000000,22,139,161
1871060000,628940000,2500000000,16,128,144
2366140000,133860000,2500000000,19,118,137
1991230000,508770000,2500000000,21,123,144
2109480000,390520000,2500000000,20,106,126
2398330000,101670000,2500000000,23,118,141
1978660000,521340000,2500000000,19,126,145
2366590000,133410000,2500000000,22,118,140
1734440000,165380000,1899820000,14,90,104
2401020000,98980000,2500000000,20,118,138
2371500000,128500000,2500000000,19,115,134
1109100000,1390900000,2500000000,24,133,157
1503670000,996330000,2500000000,20,114,134
2288800000,211200000,2500000000,23,117,140
2397790000,102210000,2500000000,20,106,126
2335370000,164630000,2500000000,23,110,133
2191740000,308260000,2500000000,22,129,151
940670000,1559330000,2500000000,32,142,174
1965880000,534120000,2500000000,31,136,167
1133240000,1366760000,2500000000,25,129,154
2019390000,480610000,2500000000,26,131,157
1339390000,1160610000,2500000000,23,131,154
