"Forest","Agriculture","Other","Area_Total","natural_sp","human_dominated_sp","Sp_Total"
405160000,1218250000,876590000,2.5e+09,30,90,120
690450000,1197540000,612010000,2.5e+09,32,94,126
1091690000,611850000,796460000,2.5e+09,29,80,109
1170060000,519070000,810870000,2.5e+09,34,112,146
1165950000,632560000,701490000,2.5e+09,34,106,140
383700000,1356340000,759960000,2.5e+09,41,121,162
373670000,1367310000,759020000,2.5e+09,32,100,132
1174710000,66370000,1258920000,2.5e+09,32,96,128
631160000,1491310000,377530000,2.5e+09,38,116,154
1275870000,27680000,1196450000,2.5e+09,37,101,138
693310000,1299470000,507220000,2.5e+09,39,121,160
43680000,639190000,1817130000,2.5e+09,38,98,136
2.37e+08,1144870000,1118130000,2.5e+09,42,104,146
4690000,88740000,2022620000,2116050000,33,85,118
263480000,1636930000,599590000,2.5e+09,40,97,137
40760000,926270000,1532970000,2.5e+09,35,103,138
487610000,954170000,1058220000,2.5e+09,26,79,105
179570000,1788640000,531790000,2.5e+09,31,96,127
131700000,1965880000,402420000,2.5e+09,41,112,153
196100000,1695170000,608730000,2.5e+09,36,105,141
499460000,1443880000,556660000,2.5e+09,35,111,146
1164500000,229800000,1105700000,2.5e+09,41,110,151
625470000,1248390000,626140000,2.5e+09,38,118,156
1044700000,457090000,998210000,2.5e+09,38,104,142
1237830000,364860000,897310000,2.5e+09,34,105,139
650180000,53060000,1487660000,2190900000,27,72,99
595070000,510110000,1361560000,2466740000,37,90,127
1710380000,455660000,333960000,2.5e+09,28,71,99
595790000,1609260000,294950000,2.5e+09,33,91,124
268400000,2860000,1473440000,1744700000,30,74,104
271530000,12310000,1603620000,1887460000,32,70,102
711380000,499790000,1288830000,2.5e+09,39,95,134
95670000,131240000,1948770000,2175680000,37,96,133
67030000,11850000,1508570000,1587450000,31,70,101
293760000,1712970000,493270000,2.5e+09,39,101,140
334950000,1135200000,1029850000,2.5e+09,35,88,123
102240000,1881020000,516740000,2.5e+09,37,99,136
40580000,625090000,1834330000,2.5e+09,43,110,153
144570000,1729910000,625520000,2.5e+09,34,92,126
122150000,1965140000,412710000,2.5e+09,38,93,131
172030000,1724640000,603330000,2.5e+09,38,95,133
86690000,1586510000,826800000,2.5e+09,40,104,144
135830000,1352160000,1012010000,2.5e+09,40,96,136
129650000,1703280000,667070000,2.5e+09,37,88,125
810760000,523760000,1165480000,2.5e+09,30,91,121
105690000,2070470000,323840000,2.5e+09,30,90,120
476550000,1254270000,769180000,2.5e+09,45,129,174
181910000,1949230000,368860000,2.5e+09,34,105,139
832090000,589140000,1078770000,2.5e+09,38,105,143
873500000,159330000,1467170000,2.5e+09,34,114,148
449870000,1535440000,514690000,2.5e+09,29,76,105
1371640000,761720000,366640000,2.5e+09,30,72,102
261140000,2068690000,170170000,2.5e+09,33,96,129
536380000,1595500000,368120000,2.5e+09,30,85,115
274950000,1777050000,4.48e+08,2.5e+09,33,86,119
586180000,1239560000,674260000,2.5e+09,40,99,139
524930000,1607940000,367130000,2.5e+09,42,100,142
29850000,260420000,2209730000,2.5e+09,30,72,102
158680000,443870000,1897450000,2.5e+09,36,84,120
48050000,147670000,2044810000,2240530000,29,78,107
5370000,75550000,1704520000,1785440000,31,65,96
1890000,78430000,2264330000,2344650000,36,88,124
41330000,115520000,2343150000,2.5e+09,27,66,93
22110000,225070000,2252490000,2499670000,27,64,91
323120000,29270000,2147610000,2.5e+09,25,72,97
199420000,68520000,2232060000,2.5e+09,32,79,111
248470000,44640000,2206890000,2.5e+09,40,93,133
29600000,653710000,1816690000,2.5e+09,37,83,120
20640000,319350000,2157660000,2497650000,36,86,122
89290000,317310000,2092380000,2498980000,36,92,128
59970000,94990000,2345040000,2.5e+09,26,63,89
238490000,391710000,1869800000,2.5e+09,32,79,111
127850000,348440000,2023710000,2.5e+09,29,84,113
1.63e+08,622920000,1714080000,2.5e+09,31,89,120
234730000,43550000,2221720000,2.5e+09,35,91,126
98800000,148360000,2252840000,2.5e+09,36,85,121
181070000,142980000,2175950000,2.5e+09,33,79,112
345770000,249810000,1904420000,2.5e+09,34,84,118
40370000,86040000,2373590000,2.5e+09,39,97,136
251040000,21230000,2226700000,2498970000,33,88,121
255310000,200550000,2044140000,2.5e+09,33,79,112
279510000,238040000,1982450000,2.5e+09,36,79,115
31280000,92960000,2133260000,2257500000,26,84,110
239010000,48330000,2212660000,2.5e+09,39,99,138
99170000,85770000,2315060000,2.5e+09,33,87,120
127920000,41760000,2330320000,2.5e+09,48,107,155
2.24e+08,185240000,2090760000,2.5e+09,30,74,104
575620000,31050000,1893330000,2.5e+09,29,66,95
250110000,354660000,1895230000,2.5e+09,38,93,131
572300000,84040000,1843660000,2.5e+09,35,85,120
248590000,1450540000,800870000,2.5e+09,35,88,123
179460000,1777030000,543510000,2.5e+09,31,78,109
275310000,1923330000,301360000,2.5e+09,32,83,115
414640000,1735990000,349370000,2.5e+09,26,70,96
20580000,251810000,1733900000,2006290000,30,73,103
50220000,886460000,1563320000,2.5e+09,37,98,135
133680000,1431710000,934610000,2.5e+09,31,83,114
546400000,796600000,1.157e+09,2.5e+09,32,77,109
274340000,803340000,1422320000,2.5e+09,36,98,134
144350000,1518890000,836760000,2.5e+09,30,78,108
242580000,596450000,1660970000,2.5e+09,34,86,120
67990000,1693800000,738210000,2.5e+09,30,76,106
91710000,1563310000,844980000,2.5e+09,29,80,109
82590000,746650000,1670760000,2.5e+09,30,82,112
165690000,1306140000,1028170000,2.5e+09,36,81,117
111030000,300620000,2088350000,2.5e+09,37,90,127
84830000,1081890000,1333280000,2.5e+09,34,82,116
19100000,116490000,2364410000,2.5e+09,36,90,126
99950000,173440000,2226610000,2.5e+09,33,82,115
161150000,180450000,2158400000,2.5e+09,35,83,118
126330000,117510000,2256160000,2.5e+09,34,83,117
128390000,11990000,2359620000,2.5e+09,34,85,119
68440000,907180000,1524380000,2.5e+09,37,89,126
70810000,1202010000,1227180000,2.5e+09,33,91,124
617570000,208680000,1673750000,2.5e+09,33,84,117
32470000,520130000,1681270000,2233870000,39,91,130
152250000,1353300000,994450000,2.5e+09,37,88,125
220320000,1882950000,396730000,2.5e+09,29,73,102
137100000,1356850000,1006050000,2.5e+09,38,93,131
