"cell50x50","occ_ebba1","SR_ebba1","occ_ebba2","SR_ebba2","deltaSR_birds","occ_m_b2000","SR_m_b2000","occ_m_a2015","SR_m_a2015","deltaSR_mammals","delta_occ_m","deltaT","ccv","log_ccv"
"30STH3",115,115,119,119,4,1,14,6398,1,13,6397,0.46519133593585,17.3130089016572,2.43139077704703
"30STJ3",135,135,155,155,20,41,25,6573,11,14,6532,0.430579904924359,5.81944860738814,1.55295790105269
"30STJ4",144,144,151,151,7,NA,14,2838,NA,NA,NA,0.450939294230731,23.7981373355019,2.85747186557637
"30STK4",152,152,177,177,25,22,23,5682,11,12,5660,0.437665776772933,12.143070704248,1.69829530356997
"30SUF1",128,128,141,141,13,1,24,7528,1,23,7527,0.56298709225345,5.02273571005114,1.41455357939255
"30SUF2",100,100,106,106,6,NA,18,1691,NA,NA,NA,0.559806963292564,2.27407984561473,0.733217889985121
"30SUF3",140,140,158,158,18,14,25,6579,1,24,6565,0.588611165682475,4.32753159521311,1.24160954050881
"30SUG3",124,124,107,107,-17,NA,21,3932,NA,NA,NA,0.513786277514976,13.4423622858416,2.24911266277075
"30SUG4",134,134,144,144,10,2,25,5727,2,23,5725,0.565659049289678,8.28348492279697,1.81924627316759
"30SUH2",104,104,113,113,9,NA,18,8070,NA,NA,NA,0.464136965863116,8.21083602310438,1.85541949459244
"30SUJ1",123,123,138,138,15,119,14,9617,18,-4,9498,0.462097206115723,5.67396902573271,1.55842002530091
"30SUJ2",136,136,124,124,-12,35,14,7258,14,0,7223,0.463017303671613,12.2542687635842,2.17665349288296
"30SUK2",154,154,155,155,1,99,17,11125,18,-1,11026,0.489887144830492,13.7487819309072,2.32485453539471
"30SUK4",137,137,154,154,17,112,18,9257,11,7,9145,0.49116285486159,21.3571138825272,2.45570713017609
"30SVF1",132,132,143,143,11,2,19,6035,2,17,6033,0.593257600610906,2.86221128779591,0.849850402141363
"30SVF3",125,125,138,138,13,457,23,6406,10,13,5949,0.570416645776658,1.98061702722051,0.331981909340396
"30SVG1",105,105,113,113,8,NA,19,7373,NA,NA,NA,0.566870682723039,6.27570149429003,1.4782689618171
"30SVG2",125,125,138,138,13,29,21,6449,8,13,6420,0.590509348445468,4.52558357617947,1.36250161635968
"30SVG3",128,128,129,129,1,25,17,8250,9,8,8225,0.591571987449349,5.41577226501935,1.38229091866244
"30SVG4",122,122,123,123,1,674,18,8673,13,5,7999,0.578050089817421,2.87162346182937,0.7806481915969
"30SVH3",124,124,118,118,-6,32,23,8481,11,12,8449,0.547217266900199,19.5094958537261,2.70196070719643
"30SVK4",123,123,145,145,22,30,18,6537,8,10,6507,0.503869069087041,13.1836979438142,2.36543224299114
"30SWF1",136,136,135,135,-1,70,16,4202,20,-4,4132,0.579207105544007,6.34945058873205,0.639932451529835
"30SWG1",124,124,122,122,-2,131,20,9515,4,16,9384,0.581655849109996,4.16537291332576,1.22115401800258
"30SWG2",106,106,110,110,4,395,26,10880,8,18,10485,0.576488064481066,2.52137458922856,0.66008785690622
"30SWG3",103,103,99,99,-4,4,14,6278,2,12,6274,0.55744462580114,6.21464785869405,1.58035731231253
"30SWH1",116,116,126,126,10,63,15,9044,13,2,8981,0.566770880562919,10.6666662223318,1.9950148089683
"30SXG3",132,132,142,142,10,2,14,3354,1,13,3352,0.594001449387649,8.60339735909516,1.95523749104764
